onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.02	33.5	1	1	3.02	2.98	6	12	18.02	3.99	22.08	2.35	0	0	1	2	5	Imagine that you will not be able to realize your full potential at work
36.57	33.5	1	2	36.57	1.64	38.22	12	50.24	1.97	52.27	1.9	1	0	0	3	5	Imagine that you will get stuck at a friend's house with screaming kids
70.11	33.5	1	3	70.11	1.88	72.02	12	84.03	2.47	86.57	2.12	0	1	0	6	4	Imagine that you will get your research published in a journal
103.66	33.5	1	4	103.66	1.34	105.01	12	117.03	3.35	120.45	2.39	1	0	1	2	6	Imagine that your car will break down when you're already running late
137.21	33.5	1	5	137.21	0.79	138.01	12	150.03	2.1	152.2	1.85	0	1	1	5	2	Imagine that you will learn a lot about the world around you
170.76	33.5	1	6	170.76	0.24	171.01	12	183.03	3.27	186.36	3.56	0	0	0	2	5	Imagine that you will put others in jeopardy because of your carelessness
204.31	33.5	1	7	204.31	2.69	207.01	12	219.03	1.85	220.95	3.87	0	1	0	6	5	Imagine that you will win an award
237.86	33.5	1	8	237.86	2.14	240.01	12	252.03	2.27	254.36	3.61	0	0	0	3	5	Imagine that your place of employment will go out of business, and you have to find a new job
271.41	33.5	1	9	271.41	1.59	273.01	12	285.03	2.07	287.16	3.1	1	0	1	3	6	Imagine that you will get locked out of your house
304.95	33.5	1	10	304.95	1.04	306.01	12	318.02	2.02	320.11	3.75	0	0	1	3	6	Imagine that you will have an argument with your parents
338.5	33.5	1	11	338.5	0.49	339	12	351.02	1.74	352.82	1.84	1	1	1	5	3	Imagine that you will successfully complete a difficult project you've been working on
372.05	33.5	1	12	372.05	2.94	375.01	12	387.02	1.65	388.74	0.95	1	0	0	2	6	Imagine that you will lose your current home to a fire
405.6	33.5	1	13	405.6	2.39	408	12	420.02	2.72	422.81	2.87	1	1	0	7	7	Imagine that you will start exercising regularly to promote health and vitality
439.15	33.5	1	14	439.15	1.84	441	12	453.02	4.06	457.14	4.26	0	1	1	6	4	Imagine that you will make new friends
472.7	33.5	1	15	472.7	1.3	474	12	486.02	2.57	488.65	2.07	1	1	0	6	7	Imagine that you will make dinner for a potluck and everyone loves it
506.25	33.5	1	16	506.25	0.75	507	12	519.01	2.27	521.35	1.9	1	1	1	6	5	Imagine that you will win the lottery
