onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.02	33.5	3	1	3.02	2.98	6.01	12	18.03	4.82	22.92	2.27	1	0	0	1	6	Imagine that you will lose your current home to a fire
36.57	33.5	3	2	36.57	2.43	39.01	12	51.03	7.09	58.19	7.09	1	1	0	4	4	Imagine that you will start exercising regularly to promote health and vitality
70.12	33.5	3	3	70.12	1.88	72.01	12	84.02	3.57	87.66	7.09	0	1	1	5	6	Imagine that you will make new friends
103.67	33.5	3	4	103.67	1.33	105	12	117.02	7.09	124.18	7.09	1	0	1	4	4	Imagine that you will get locked out of your house
137.22	33.5	3	5	137.22	0.78	138	12	150.02	2.72	152.81	3.82	0	1	0	7	6	Imagine that you will get your research published in a journal
170.77	33.5	3	6	170.77	0.23	171	12	183.02	4.29	187.37	2.45	0	1	1	6	5	Imagine that you will learn a lot about the world around you
204.32	33.5	3	7	204.32	2.68	207	12	219.02	4.87	223.96	2.2	1	1	1	7	7	Imagine that you will win the lottery
237.86	33.5	3	8	237.86	2.13	240	12	252.02	3.17	255.26	5.64	1	1	0	6	5	Imagine that you will make dinner for a potluck and everyone loves it
271.41	33.5	3	9	271.41	1.58	273.01	12	285.03	7.04	292.14	2.79	0	1	0	7	7	Imagine that you will win an award
304.96	33.5	3	10	304.96	1.04	306.01	12	318.03	6.18	324.27	2.72	1	0	1	1	6	Imagine that your car will break down when you're already running late
338.51	33.5	3	11	338.51	0.49	339.01	12	351.03	7.09	358.19	2.99	1	1	1	7	4	Imagine that you will successfully complete a difficult project you've been working on
372.06	33.5	3	12	372.06	2.94	375.01	12	387.03	4.71	391.8	5.78	0	0	1	1	5	Imagine that you will not be able to realize your full potential at work
405.61	33.5	3	13	405.61	2.39	408.01	12	420.03	7.09	427.19	7.09	1	0	0	3	4	Imagine that you will get stuck at a friend's house with screaming kids
439.16	33.5	3	14	439.16	1.84	441.01	12	453.03	2.97	456.06	1.97	0	0	1	1	5	Imagine that you will have an argument with your parents
472.7	33.5	3	15	472.7	1.29	474.01	12	486.02	4.82	490.91	3.52	0	0	0	1	4	Imagine that you will put others in jeopardy because of your carelessness
506.25	33.5	3	16	506.25	0.74	507	12	519.02	2.3	521.39	3.11	0	0	0	1	5	Imagine that your place of employment will go out of business, and you have to find a new job
