onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.03	33.5	3	1	3.03	2.97	6	12	18.05	2.92	20.97	1.63	0	1	0	4	6	Imagine that you will fulfill a promise to your friend
36.59	33.5	3	2	36.59	2.41	39.01	12	51.04	1.82	52.86	1.73	1	0	0	1	7	Imagine that there will be an infestation of bugs in your home
70.14	33.5	3	3	70.14	1.87	72.02	12	84.07	2.75	86.82	2.62	1	1	1	6	7	Imagine that you will see your favorite band in concert
103.68	33.5	3	4	103.68	1.32	105.01	12	117.04	3.13	120.18	1.59	1	1	0	7	4	Imagine that you will find your dream job that pays well with good hours
137.22	33.5	3	5	137.22	0.78	138.01	12	150.03	4.35	154.39	1.75	1	0	1	2	7	Imagine that you will get food poisoning
170.77	33.5	3	6	170.77	0.24	171.02	12	183.06	2.29	185.35	1.37	0	0	0	1	6	Imagine that you will file for bankruptcy
204.31	33.5	3	7	204.31	2.69	207.01	12	219.04	2.13	221.17	2.87	1	1	1	7	4	Imagine that you will go on a romantic getaway with your significant other
237.85	33.5	3	8	237.85	2.15	240	12	252.03	3.54	255.57	1.87	1	0	0	2	7	Imagine that you will encounter a crawling insect in your bedroom
271.4	33.5	3	9	271.4	1.6	273.01	12	285.06	1.78	286.84	1.3	1	1	0	7	7	Imagine that you will buy a car
304.94	33.5	3	10	304.94	1.06	306.01	12	318.05	1.53	319.58	1.15	0	1	0	7	6	Imagine that you will achieve a strong sense of self-worth
338.48	33.5	3	11	338.48	0.51	339.02	12	351.04	1.67	352.71	3.52	1	0	1	3	4	Imagine that there will be a natural disaster where you live
372.03	33.5	3	12	372.03	2.97	375.01	12	387.05	2.5	389.56	1.88	0	1	1	5	4	Imagine that you will cultivate lasting friendships at work
405.57	33.5	3	13	405.57	2.43	408	12	420.05	1.97	422.02	1.75	0	0	1	2	5	Imagine that you will be diagnosed with a rare disease
439.11	33.5	3	14	439.11	1.88	441	12	453.04	5.71	458.74	2.45	0	0	0	2	4	Imagine that you will get blamed for a hazardous accident
472.66	33.5	3	15	472.66	1.34	474.01	12	486.05	2.2	488.25	1.53	0	1	1	5	3	Imagine that you will get good medical coverage at work
506.2	33.5	3	16	506.2	0.79	507	12	519.04	1.8	520.84	1.38	0	0	1	2	6	Imagine that you will catch one of your good friends stealing
