onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.07	33.5	2	1	3.07	2.93	6.02	12	18.06	3.05	21.2	4.94	1	0	1	5	7	Imagine that you will get stuck at a friend's house with screaming kids
36.61	33.5	2	2	36.61	2.39	39.03	12	51.07	2.82	53.97	2.35	1	1	1	6	3	Imagine that you will start exercising regularly to promote health and vitality
70.15	33.5	2	3	70.15	1.85	72.02	12	84.05	3.8	87.93	2.15	1	0	0	2	5	Imagine that your car will break down when you're already running late
103.69	33.5	2	4	103.69	1.3	105.01	12	117.04	1.69	118.8	1.74	0	1	0	6	5	Imagine that you will make new friends
137.24	33.5	2	5	137.24	0.76	138.02	12	150.04	1.97	152.1	1.1	1	1	1	6	5	Imagine that you will make dinner for a potluck and everyone loves it
170.83	33.5	2	6	170.83	0.17	171.01	12	183.04	1.88	185	1.73	0	1	1	7	7	Imagine that you will get your research published in a journal
204.37	33.5	2	7	204.37	2.62	207	12	219.03	2.72	221.83	1.1	0	0	0	2	5	Imagine that you will have an argument with your parents
237.91	33.5	2	8	237.91	2.08	240.01	12	252.04	5.45	257.58	2.22	1	1	0	7	6	Imagine that you will successfully complete a difficult project you've been working on
271.45	33.5	2	9	271.45	1.54	273	12	285.03	2.42	287.53	2.85	1	0	1	2	3	Imagine that you will lose your current home to a fire
304.99	33.5	2	10	304.99	1	306.01	12	318.04	1.97	320.09	2.1	0	1	1	5	5	Imagine that you will win an award
338.54	33.5	2	11	338.54	0.45	339	12	351.03	1.98	353.1	1.58	1	1	0	7	5	Imagine that you will win the lottery
372.08	33.5	2	12	372.08	2.91	375.01	12	387.04	2.22	389.34	1.3	0	0	1	1	2	Imagine that you will put others in jeopardy because of your carelessness
405.62	33.5	2	13	405.62	2.37	408.01	12	420.03	2.52	422.63	1.22	0	1	0	7	5	Imagine that you will learn a lot about the world around you
439.16	33.5	2	14	439.16	1.82	441	12	453.02	2.3	455.41	1.47	1	0	0	2	3	Imagine that you will get locked out of your house
472.7	33.5	2	15	472.7	1.28	474	12	486.03	5.84	491.95	2.7	0	0	1	2	3	Imagine that your place of employment will go out of business, and you have to find a new job
506.25	33.5	2	16	506.25	0.74	507	12	519.02	2.2	521.31	2.22	0	0	0	1	5	Imagine that you will not be able to realize your full potential at work
