onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.07	33.5	1	1	3.07	2.93	6.02	12	18.06	2.82	20.96	3.72	0	0	0	1	5	Imagine that you will get blamed for a hazardous accident
36.61	33.5	1	2	36.61	2.39	39.03	12	51.07	6.67	57.82	3.2	0	1	1	5	6	Imagine that you will get good medical coverage at work
70.15	33.5	1	3	70.15	1.85	72.02	12	84.05	3.38	87.51	2.92	0	1	0	6	5	Imagine that you will achieve a strong sense of self-worth
103.69	33.5	1	4	103.69	1.3	105.01	12	117.04	6.12	123.24	2.57	1	0	1	2	4	Imagine that there will be a natural disaster where you live
137.23	33.5	1	5	137.23	0.76	138.02	12	150.04	7.11	157.23	3.25	1	1	1	5	3	Imagine that you will see your favorite band in concert
170.78	33.5	1	6	170.78	0.22	171.01	12	183.04	2.94	186.06	1.53	0	1	0	7	5	Imagine that you will fulfill a promise to your friend
204.32	33.5	1	7	204.32	2.68	207	12	219.03	2.69	221.8	5.77	0	0	0	1	5	Imagine that you will file for bankruptcy
237.86	33.5	1	8	237.86	2.13	240.01	12	252.04	3.22	255.34	1.37	0	1	1	7	5	Imagine that you will cultivate lasting friendships at work
271.4	33.5	1	9	271.4	1.59	273	12	285.03	2.77	287.88	3.44	1	1	0	7	7	Imagine that you will find your dream job that pays well with good hours
304.94	33.5	1	10	304.94	1.04	306.01	12	318.04	2.25	320.37	1.69	1	0	1	1	5	Imagine that you will get food poisoning
338.49	33.5	1	11	338.49	0.5	339	12	351.03	1.78	352.9	1.15	1	0	0	2	5	Imagine that there will be an infestation of bugs in your home
372.03	33.5	1	12	372.03	2.96	375.01	12	387.04	1.8	388.92	3.49	1	0	0	1	6	Imagine that you will encounter a crawling insect in your bedroom
405.57	33.5	1	13	405.57	2.38	407.96	12	419.98	2.04	422.1	2.52	1	1	0	5	3	Imagine that you will buy a car
439.11	33.5	1	14	439.11	1.87	441	12	453.02	1.37	454.47	1.75	1	1	1	6	3	Imagine that you will go on a romantic getaway with your significant other
472.65	33.5	1	15	472.65	1.33	474	12	486.03	2.47	488.58	2.4	0	0	1	1	2	Imagine that you will catch one of your good friends stealing
506.2	33.5	1	16	506.2	0.79	507	12	519.02	4.94	524.04	4.12	0	0	1	2	2	Imagine that you will be diagnosed with a rare disease
