onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.01	33.5	4	1	3.01	2.99	6.02	12	18.03	4.34	22.44	2.59	1	1	1	6	6	Imagine that you will buy a car
36.56	33.5	4	2	36.56	2.44	39.02	12	51.03	4.87	55.97	2.15	0	0	0	2	6	Imagine that you will be diagnosed with a rare disease
70.11	33.5	4	3	70.11	1.89	72.01	12	84.03	4.87	88.97	2.04	0	1	0	7	6	Imagine that you will get good medical coverage at work
103.66	33.5	4	4	103.66	1.34	105.01	12	117.03	3.55	120.65	2.47	0	1	1	5	3	Imagine that you will achieve a strong sense of self-worth
137.21	33.5	4	5	137.21	0.79	138.01	12	150.03	6.13	156.22	2.29	1	1	0	6	5	Imagine that you will see your favorite band in concert
170.76	33.5	4	6	170.76	0.24	171.01	12	183.02	4.16	187.25	3.54	0	1	0	5	5	Imagine that you will cultivate lasting friendships at work
204.3	33.5	4	7	204.3	2.69	207.01	12	219.02	4.72	223.82	3.87	0	0	0	2	6	Imagine that you will catch one of your good friends stealing
237.85	33.5	4	8	237.85	2.14	240.01	12	252.02	5.93	258.02	2.09	1	1	0	7	6	Imagine that you will go on a romantic getaway with your significant other
271.4	33.5	4	9	271.4	1.59	273	12	285.02	6.73	291.81	2	1	1	1	5	4	Imagine that you will find your dream job that pays well with good hours
304.95	33.5	4	10	304.95	1.04	306	12	318.02	4.86	322.94	1.52	1	0	0	2	7	Imagine that there will be a natural disaster where you live
338.5	33.5	4	11	338.5	0.5	339.02	12	351.03	5.71	356.81	1.7	0	0	1	2	6	Imagine that you will get blamed for a hazardous accident
372.05	33.5	4	12	372.05	2.95	375	12	387.02	2.89	389.97	2.47	1	0	1	2	6	Imagine that there will be an infestation of bugs in your home
405.59	33.5	4	13	405.59	2.4	408	12	420.02	3.09	423.17	1.58	1	0	0	2	6	Imagine that you will get food poisoning
439.14	33.5	4	14	439.14	1.85	441	12	453.01	5.17	458.26	2.89	0	1	1	5	5	Imagine that you will fulfill a promise to your friend
472.69	33.5	4	15	472.69	1.3	474	12	486.01	4.39	490.47	2.19	1	0	1	4	2	Imagine that you will encounter a crawling insect in your bedroom
506.24	33.5	4	16	506.24	0.75	507.01	12	519.03	3.5	522.6	2.34	0	0	1	2	5	Imagine that you will file for bankruptcy
