onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.02	33.5	3	1	3.02	2.98	6.01	12	18.02	2.39	20.48	3.27	1	0	1	1	6	Imagine that you will get food poisoning
36.57	33.5	3	2	36.57	2.43	39.01	12	51.02	2.05	53.14	3.09	0	0	0	2	5	Imagine that you will get blamed for a hazardous accident
70.12	33.5	3	3	70.12	1.88	72	12	84.02	2.14	86.22	1.45	1	0	0	1	6	Imagine that there will be an infestation of bugs in your home
103.66	33.5	3	4	103.66	1.33	105.02	12	117.03	3.1	120.2	1.77	0	1	0	6	5	Imagine that you will achieve a strong sense of self-worth
137.21	33.5	3	5	137.21	0.79	138.01	12	150.03	2.55	152.65	1.6	1	1	1	7	6	Imagine that you will go on a romantic getaway with your significant other
170.76	33.5	3	6	170.76	0.23	171.01	12	183.03	3.82	186.92	1.57	0	0	0	3	3	Imagine that you will file for bankruptcy
204.31	33.5	3	7	204.31	2.69	207.01	12	219.03	2.8	221.9	1.87	1	1	1	6	6	Imagine that you will see your favorite band in concert
237.86	33.5	3	8	237.86	2.14	240.01	12	252.03	3.25	255.35	3.72	0	0	1	2	3	Imagine that you will catch one of your good friends stealing
271.41	33.5	3	9	271.41	1.59	273.01	12	285.03	3.62	288.72	1.92	1	0	0	1	6	Imagine that you will encounter a crawling insect in your bedroom
304.96	33.5	3	10	304.96	1.04	306.01	12	318.03	4.07	322.16	2.1	1	1	0	6	5	Imagine that you will find your dream job that pays well with good hours
338.5	33.5	3	11	338.5	0.49	339.01	12	351.02	3.2	354.29	2.5	1	1	0	7	7	Imagine that you will buy a car
372.05	33.5	3	12	372.05	2.94	375.01	12	387.03	5.56	392.65	3.62	0	0	1	1	3	Imagine that you will be diagnosed with a rare disease
405.6	33.5	3	13	405.6	2.39	408.01	12	420.02	5.32	425.41	4.92	0	1	0	6	5	Imagine that you will fulfill a promise to your friend
439.15	33.5	3	14	439.15	1.84	441	12	453.02	1.75	454.84	4.22	0	1	1	5	4	Imagine that you will get good medical coverage at work
472.7	33.5	3	15	472.7	1.29	474	12	486.02	3.05	489.14	2.42	0	1	1	6	6	Imagine that you will cultivate lasting friendships at work
506.25	33.5	3	16	506.25	0.75	507	12	519.02	3.84	522.92	2.65	1	0	1	2	6	Imagine that there will be a natural disaster where you live
