onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.08	33.5	3	1	3.08	2.92	6.01	12	18.05	2.9	21.04	4.45	1	1	1	6	5	Imagine that you will buy a car
36.63	33.5	3	2	36.63	2.36	39.02	12	51.04	5.1	56.23	2.37	0	1	1	5	1	Imagine that you will achieve a strong sense of self-worth
70.17	33.5	3	3	70.17	1.82	72.03	12	84.07	3.17	87.32	2.47	1	0	1	2	5	Imagine that you will encounter a crawling insect in your bedroom
103.71	33.5	3	4	103.71	1.28	105.02	12	117.04	4.47	121.59	1.5	1	0	0	2	3	Imagine that there will be a natural disaster where you live
137.26	33.5	3	5	137.26	0.74	138.01	12	150.03	2.22	152.33	1.34	1	1	0	6	6	Imagine that you will see your favorite band in concert
170.8	33.5	3	6	170.8	0.19	171.01	12	183.04	5.14	188.26	1.52	0	0	0	2	6	Imagine that you will be diagnosed with a rare disease
204.34	33.5	3	7	204.34	2.65	207.01	12	219.03	1.92	221.03	4.44	1	1	1	6	3	Imagine that you will find your dream job that pays well with good hours
237.88	33.5	3	8	237.88	2.11	240	12	252.02	1.27	253.37	1.33	1	0	0	2	6	Imagine that you will get food poisoning
271.42	33.5	3	9	271.42	1.56	273	12	285.03	4.2	289.31	5.17	0	0	1	1	6	Imagine that you will get blamed for a hazardous accident
305.19	33.5	3	10	305.19	0.79	305.99	12	318.02	2.4	320.5	2.92	0	0	0	3	3	Imagine that you will catch one of your good friends stealing
338.73	33.5	3	11	338.73	0.24	339	12	351.02	4.97	356.08	2.15	1	1	0	6	4	Imagine that you will go on a romantic getaway with your significant other
372.27	33.5	3	12	372.27	2.7	374.99	12	387.02	1.33	388.43	2.95	1	0	1	2	6	Imagine that there will be an infestation of bugs in your home
405.81	33.5	3	13	405.81	2.16	407.98	12	420.01	1.05	421.14	2.75	0	1	0	6	4	Imagine that you will cultivate lasting friendships at work
439.35	33.5	3	14	439.35	1.62	440.99	12	453.01	2.54	455.63	1.32	0	1	1	6	6	Imagine that you will fulfill a promise to your friend
472.9	33.5	3	15	472.9	1.07	473.98	12	486	2.25	488.34	1.43	0	0	1	2	4	Imagine that you will file for bankruptcy
506.44	33.5	3	16	506.44	0.53	506.99	12	519.01	2.47	521.56	1.13	0	1	0	5	2	Imagine that you will get good medical coverage at work
