onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.07	33.5	4	1	3.07	2.93	6.02	12	18.06	2.77	20.91	3.3	1	0	1	3	3	Imagine that your car will break down when you're already running late
36.63	33.5	4	2	36.63	2.37	39.03	12	51.05	2.15	53.29	3.22	1	1	1	7	6	Imagine that you will successfully complete a difficult project you've been working on
70.17	33.5	4	3	70.17	1.83	72.02	12	84.06	2.75	86.89	1.49	1	0	0	2	5	Imagine that you will get stuck at a friend's house with screaming kids
103.71	33.5	4	4	103.71	1.29	105.01	12	117.03	2.4	119.52	3.37	0	0	0	2	5	Imagine that you will put others in jeopardy because of your carelessness
137.25	33.5	4	5	137.25	0.74	138.01	12	150.04	2.25	152.37	2.19	0	0	1	3	4	Imagine that you will have an argument with your parents
170.79	33.5	4	6	170.79	0.2	171	12	183.03	2.09	185.2	0.82	1	1	0	6	6	Imagine that you will make dinner for a potluck and everyone loves it
204.33	33.5	4	7	204.33	2.66	207	12	219.02	1.98	221.09	2.15	1	1	1	6	5	Imagine that you will win the lottery
237.87	33.5	4	8	237.87	2.12	240	12	252.05	0.75	252.88	3.59	0	0	1	3	4	Imagine that you will not be able to realize your full potential at work
271.41	33.5	4	9	271.41	1.57	272.99	12	285.04	2.59	287.71	1.3	1	1	0	6	6	Imagine that you will start exercising regularly to promote health and vitality
304.95	33.5	4	10	304.95	1.03	306	12	318.03	3.52	321.63	3.64	0	1	1	6	4	Imagine that you will make new friends
338.49	33.5	4	11	338.49	0.49	338.99	12	351.02	1.72	352.82	1.44	0	1	1	6	4	Imagine that you will learn a lot about the world around you
372.03	33.5	4	12	372.03	2.94	374.98	12	387.01	1.32	388.41	2.24	0	1	0	6	6	Imagine that you will win an award
405.57	33.5	4	13	405.57	2.4	407.99	12	420.02	1.7	421.8	4.82	1	0	0	2	6	Imagine that you will lose your current home to a fire
439.11	33.5	4	14	439.11	1.86	440.98	12	453.01	1.15	454.24	1.27	0	1	0	6	6	Imagine that you will get your research published in a journal
472.65	33.5	4	15	472.65	1.31	473.99	12	486.01	1.38	487.48	3.07	0	0	0	2	6	Imagine that your place of employment will go out of business, and you have to find a new job
506.19	33.5	4	16	506.19	0.77	506.98	12	519	0.62	519.7	2.49	1	0	1	3	4	Imagine that you will get locked out of your house
