onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.08	33.5	1	1	3.08	2.92	6.01	12	18.06	4.39	22.54	4.4	1	1	1	5	3	Imagine that you will go on a romantic getaway with your significant other
36.62	33.5	1	2	36.62	2.38	39.02	12	51.05	5.54	56.67	2.8	1	0	0	2	5	Imagine that there will be an infestation of bugs in your home
70.16	33.5	1	3	70.16	1.84	72.03	12	84.09	7.11	91.27	5.49	0	0	1	2	5	Imagine that you will be diagnosed with a rare disease
103.7	33.5	1	4	103.7	1.29	105.02	12	117.04	6.81	123.93	4.07	0	0	1	3	4	Imagine that you will catch one of your good friends stealing
137.24	33.5	1	5	137.24	0.75	138.01	12	150.03	6.19	156.3	4.12	0	0	0	2	2	Imagine that you will file for bankruptcy
170.78	33.5	1	6	170.78	0.21	171.01	12	183.04	3.92	187.04	2.55	0	1	1	4	2	Imagine that you will get good medical coverage at work
204.32	33.5	1	7	204.32	2.66	207.01	12	219.03	4.35	223.47	2.55	1	0	1	2	5	Imagine that you will get food poisoning
237.86	33.5	1	8	237.86	2.12	240	12	252.02	2.03	254.14	4.52	1	0	1	3	4	Imagine that there will be a natural disaster where you live
271.4	33.5	1	9	271.4	1.58	273	12	285.03	3.57	288.68	3.14	1	1	0	6	5	Imagine that you will buy a car
305.18	33.5	1	10	305.18	0.8	305.99	12	318.02	3.94	322.04	2.15	1	0	0	2	3	Imagine that you will encounter a crawling insect in your bedroom
338.72	33.5	1	11	338.72	0.26	339	12	351.03	3.4	354.51	4.87	0	1	0	6	5	Imagine that you will achieve a strong sense of self-worth
372.26	33.5	1	12	372.26	2.72	374.99	12	387.02	3.12	390.22	2.1	0	1	0	5	6	Imagine that you will fulfill a promise to your friend
405.8	33.5	1	13	405.8	2.17	407.98	12	420.01	1.75	421.84	5.42	1	1	1	6	6	Imagine that you will see your favorite band in concert
439.34	33.5	1	14	439.34	1.63	440.99	12	453.02	2.64	455.74	1.93	0	1	1	6	4	Imagine that you will cultivate lasting friendships at work
472.88	33.5	1	15	472.88	1.09	473.98	12	486.01	3.45	489.54	2.85	1	1	0	6	3	Imagine that you will find your dream job that pays well with good hours
506.42	33.5	1	16	506.42	0.54	506.99	12	519.01	1.1	520.2	5.79	0	0	0	2	6	Imagine that you will get blamed for a hazardous accident
