onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.02	33.5	2	1	3.02	2.98	6.01	12	18.03	3.27	21.37	2.8	1	0	1	2	6	Imagine that you will encounter a crawling insect in your bedroom
36.57	33.5	2	2	36.57	2.43	39.01	12	51.03	2.49	53.58	2.77	0	0	0	3	4	Imagine that you will catch one of your good friends stealing
70.12	33.5	2	3	70.12	1.88	72.01	12	84.02	6.26	90.35	1.5	1	1	1	5	5	Imagine that you will buy a car
103.67	33.5	2	4	103.67	1.33	105	12	117.02	6.36	123.45	3.25	0	0	0	1	6	Imagine that you will be diagnosed with a rare disease
137.22	33.5	2	5	137.22	0.78	138	12	150.02	7.09	157.18	3.81	0	1	1	3	4	Imagine that you will fulfill a promise to your friend
170.77	33.5	2	6	170.77	0.23	171	12	183.02	5.91	188.99	1.3	1	1	0	7	6	Imagine that you will see your favorite band in concert
204.31	33.5	2	7	204.31	2.68	207	12	219.02	7.09	226.18	0.25	1	1	1	4	5	Imagine that you will find your dream job that pays well with good hours
237.86	33.5	2	8	237.86	2.13	240	12	252.02	3.59	255.67	1.35	0	1	0	4	5	Imagine that you will get good medical coverage at work
271.41	33.5	2	9	271.41	1.58	273	12	285.01	3.09	288.17	1.9	0	1	0	6	5	Imagine that you will cultivate lasting friendships at work
304.96	33.5	2	10	304.96	1.03	305.99	12	318.01	3.34	321.42	2.9	1	0	1	1	6	Imagine that there will be an infestation of bugs in your home
338.51	33.5	2	11	338.51	0.48	338.99	12	351.01	2.99	354.06	2.12	1	0	0	2	6	Imagine that you will get food poisoning
372.06	33.5	2	12	372.06	2.94	375.01	12	387.03	2.22	389.32	0.43	0	1	1	4	5	Imagine that you will achieve a strong sense of self-worth
405.6	33.5	2	13	405.6	2.39	408.01	12	420.03	3.31	423.4	1.57	1	1	0	6	6	Imagine that you will go on a romantic getaway with your significant other
439.15	33.5	2	14	439.15	1.84	441.01	12	453.02	2.09	455.18	3.59	0	0	1	3	4	Imagine that you will file for bankruptcy
472.7	33.5	2	15	472.7	1.29	474	12	486.02	3.02	489.11	1.99	1	0	0	3	5	Imagine that there will be a natural disaster where you live
506.25	33.5	2	16	506.25	0.74	507	12	519.02	2.84	521.92	3.84	0	0	1	4	3	Imagine that you will get blamed for a hazardous accident
