onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.03	33.5	1	1	3.03	2.97	6.02	12	18.03	4.32	22.42	2.42	1	0	0	2	3	Imagine that you will lose your current home to a fire
36.58	33.5	1	2	36.58	2.42	39.02	12	51.03	2.84	53.94	3.32	0	1	0	6	5	Imagine that you will win an award
70.13	33.5	1	3	70.13	1.87	72.01	12	84.03	3.44	87.54	1.12	1	1	0	5	4	Imagine that you will make dinner for a potluck and everyone loves it
103.68	33.5	1	4	103.68	1.33	105.01	12	117.03	5.71	122.8	4.54	0	0	1	4	3	Imagine that you will have an argument with your parents
137.22	33.5	1	5	137.22	0.78	138.01	12	150.03	3.54	153.63	1	1	1	0	5	5	Imagine that you will start exercising regularly to promote health and vitality
170.77	33.5	1	6	170.77	0.23	171.01	12	183.02	3.3	186.39	2.72	0	0	0	2	3	Imagine that your place of employment will go out of business, and you have to find a new job
204.32	33.5	1	7	204.32	2.68	207.01	12	219.02	3.56	222.65	2.05	1	1	1	6	4	Imagine that you will win the lottery
237.87	33.5	1	8	237.87	2.13	240.01	12	252.02	3.56	255.64	5.24	1	0	1	2	4	Imagine that you will get locked out of your house
271.42	33.5	1	9	271.42	1.58	273	12	285.02	7.09	292.18	5.61	0	0	1	3	4	Imagine that you will not be able to realize your full potential at work
304.97	33.5	1	10	304.97	1.03	306	12	318.02	3.14	321.22	3.39	1	0	1	2	5	Imagine that your car will break down when you're already running late
338.52	33.5	1	11	338.52	0.48	339	12	351.02	7.08	358.16	0.1	0	1	1	4	2	Imagine that you will learn a lot about the world around you
372.06	33.5	1	12	372.06	2.93	375	12	387.02	2.5	389.59	3.87	1	0	0	3	5	Imagine that you will get stuck at a friend's house with screaming kids
405.61	33.5	1	13	405.61	2.38	408	12	420.02	3.42	423.5	4.26	0	1	1	6	5	Imagine that you will make new friends
439.16	33.5	1	14	439.16	1.83	441	12	453.01	7.03	460.11	6.11	0	1	0	5	4	Imagine that you will get your research published in a journal
472.71	33.5	1	15	472.71	1.28	474.01	12	486.03	3.67	489.77	1.38	1	1	1	6	5	Imagine that you will successfully complete a difficult project you've been working on
506.26	33.5	1	16	506.26	0.73	507.01	12	519.03	5.52	524.62	1.89	0	0	0	3	5	Imagine that you will put others in jeopardy because of your carelessness
