onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.06	33.5	2	1	3.06	2.94	6.02	12	18.06	1.85	19.99	2.32	1	0	0	1	6	Imagine that you will get stuck at a friend's house with screaming kids
36.61	33.5	2	2	36.61	2.39	39.02	12	51.08	2.4	53.57	4.31	0	1	0	7	5	Imagine that you will get your research published in a journal
70.15	33.5	2	3	70.15	1.85	72.02	12	84.04	3.19	87.31	3.04	0	1	1	4	5	Imagine that you will learn a lot about the world around you
103.69	33.5	2	4	103.69	1.31	105.02	12	117.05	2.87	120	1.84	0	0	0	2	6	Imagine that your place of employment will go out of business, and you have to find a new job
137.23	33.5	2	5	137.23	0.76	138.02	12	150.04	3.1	153.23	0.95	0	0	1	6	4	Imagine that you will not be able to realize your full potential at work
170.77	33.5	2	6	170.77	0.22	171.01	12	183.03	2.64	185.75	2.63	0	1	1	5	2	Imagine that you will make new friends
204.32	33.5	2	7	204.32	2.68	207.02	12	219.04	3.12	222.25	2.44	1	1	1	7	6	Imagine that you will successfully complete a difficult project you've been working on
237.86	33.5	2	8	237.86	2.13	240.01	12	252.03	3.22	255.34	1.42	1	0	0	4	5	Imagine that you will lose your current home to a fire
271.4	33.5	2	9	271.4	1.59	273.02	12	285.04	4.3	289.43	1.38	1	0	1	2	5	Imagine that you will get locked out of your house
304.94	33.5	2	10	304.94	1.05	306.01	12	318.03	4.52	322.64	2.47	1	1	0	3	5	Imagine that you will start exercising regularly to promote health and vitality
338.48	33.5	2	11	338.48	0.51	339.02	12	351.04	1.88	353.01	2.24	1	0	1	1	4	Imagine that your car will break down when you're already running late
372.02	33.5	2	12	372.02	2.96	375.01	12	387.04	2.75	389.87	2.1	0	1	0	7	5	Imagine that you will win an award
405.57	33.5	2	13	405.57	2.42	408	12	420.03	2.13	422.25	2.37	1	1	1	7	6	Imagine that you will win the lottery
439.11	33.5	2	14	439.11	1.88	441.01	12	453.04	2.32	455.44	2.02	0	0	1	4	5	Imagine that you will have an argument with your parents
472.65	33.5	2	15	472.65	1.33	474	12	486.03	6.59	492.7	2.94	1	1	0	3	5	Imagine that you will make dinner for a potluck and everyone loves it
506.19	33.5	2	16	506.19	0.79	507.01	12	519.04	2.02	521.14	2.15	0	0	0	2	3	Imagine that you will put others in jeopardy because of your carelessness
