onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.07	33.5	1	1	3.07	2.93	6.02	12	18.06	2.52	20.68	3.55	0	1	0	6	5	Imagine that you will cultivate lasting friendships at work
36.61	33.5	1	2	36.61	2.39	39.03	12	51.07	2.45	53.6	2.6	1	1	0	5	4	Imagine that you will see your favorite band in concert
70.15	33.5	1	3	70.15	1.85	72.02	12	84.04	3.05	87.18	1.3	0	0	0	2	5	Imagine that you will catch one of your good friends stealing
103.69	33.5	1	4	103.69	1.31	105.01	12	117.04	1.68	118.8	3.27	0	1	1	2	6	Imagine that you will fulfill a promise to your friend
137.23	33.5	1	5	137.23	0.76	138.02	12	150.04	2	152.13	3.5	1	1	1	4	3	Imagine that you will buy a car
170.78	33.5	1	6	170.78	0.22	171.01	12	183.04	2.88	186	3.27	1	0	0	3	5	Imagine that there will be a natural disaster where you live
204.32	33.5	1	7	204.32	2.68	207.02	12	219.05	1.9	221.03	2.5	1	0	1	2	6	Imagine that there will be an infestation of bugs in your home
237.86	33.5	1	8	237.86	2.13	240.01	12	252.04	1.68	253.8	1.87	0	1	0	3	4	Imagine that you will get good medical coverage at work
271.4	33.5	1	9	271.4	1.59	273	12	285.03	2.15	287.26	3.92	0	0	1	2	4	Imagine that you will file for bankruptcy
304.94	33.5	1	10	304.94	1.05	306.01	12	318.04	3.45	321.57	2.42	1	0	0	4	5	Imagine that you will get food poisoning
338.49	33.5	1	11	338.49	0.5	339	12	351.03	2.32	353.43	1.87	0	1	1	7	5	Imagine that you will achieve a strong sense of self-worth
372.03	33.5	1	12	372.03	2.96	375.01	12	387.04	2.18	389.31	2.99	1	1	1	7	6	Imagine that you will find your dream job that pays well with good hours
405.57	33.5	1	13	405.57	2.42	408	12	420.03	3.3	423.41	2.45	1	0	1	4	5	Imagine that you will encounter a crawling insect in your bedroom
439.11	33.5	1	14	439.11	1.88	441	12	453.02	2.57	455.67	3.39	0	0	0	3	2	Imagine that you will be diagnosed with a rare disease
472.65	33.5	1	15	472.65	1.33	474	12	486.03	7.11	493.22	2.65	0	0	1	3	4	Imagine that you will get blamed for a hazardous accident
506.19	33.5	1	16	506.19	0.79	507	12	519.02	1.65	520.76	2.38	1	1	0	6	7	Imagine that you will go on a romantic getaway with your significant other
