onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.01	33.5	4	1	3.01	2.99	6.02	12	18.03	2.7	20.8	2.07	1	0	0	2	5	Imagine that you will get food poisoning
36.56	33.5	4	2	36.56	2.44	39.01	12	51.03	2.22	53.32	0.43	1	1	0	4	1	Imagine that you will go on a romantic getaway with your significant other
70.11	33.5	4	3	70.11	1.89	72.01	12	84.03	3.64	87.73	3.19	1	1	0	7	6	Imagine that you will see your favorite band in concert
103.66	33.5	4	4	103.66	1.34	105.01	12	117.03	2.82	119.91	2.65	0	0	1	2	5	Imagine that you will file for bankruptcy
137.21	33.5	4	5	137.21	0.79	138.01	12	150.03	6.94	157.04	2.32	0	1	0	6	5	Imagine that you will cultivate lasting friendships at work
170.76	33.5	4	6	170.76	0.24	171.01	12	183.02	3.89	186.98	2.47	1	0	0	2	5	Imagine that there will be a natural disaster where you live
204.3	33.5	4	7	204.3	2.69	207.01	12	219.02	2.77	221.86	6.66	0	0	1	1	3	Imagine that you will get blamed for a hazardous accident
237.85	33.5	4	8	237.85	2.14	240.01	12	252.02	3.84	255.93	3.8	0	0	0	1	3	Imagine that you will be diagnosed with a rare disease
271.4	33.5	4	9	271.4	1.6	273	12	285.02	3.62	288.71	4.14	0	1	1	6	5	Imagine that you will achieve a strong sense of self-worth
304.95	33.5	4	10	304.95	1.05	306	12	318.02	2	320.09	4.89	1	1	1	5	4	Imagine that you will buy a car
338.5	33.5	4	11	338.5	0.5	339	12	351.02	5.84	356.92	4.26	0	0	0	2	7	Imagine that you will catch one of your good friends stealing
372.05	33.5	4	12	372.05	2.95	375	12	387.02	2.49	389.57	2.87	0	1	0	5	2	Imagine that you will get good medical coverage at work
405.59	33.5	4	13	405.59	2.4	408	12	420.02	4.97	425.06	2.3	1	1	1	7	5	Imagine that you will find your dream job that pays well with good hours
439.14	33.5	4	14	439.14	1.85	441	12	453.01	1.65	454.73	4.56	0	1	1	6	5	Imagine that you will fulfill a promise to your friend
472.69	33.5	4	15	472.69	1.3	474.01	12	486.03	2.47	488.56	3.14	1	0	1	1	6	Imagine that you will encounter a crawling insect in your bedroom
506.24	33.5	4	16	506.24	0.75	507.01	12	519.03	3.69	522.78	3.64	1	0	1	1	5	Imagine that there will be an infestation of bugs in your home
