onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.07	33.5	1	1	3.07	2.93	6.02	12	18.05	2.77	20.9	1.77	1	1	0	7	7	Imagine that you will win the lottery
36.61	33.5	1	2	36.61	2.39	39.03	12	51.07	3.2	54.36	2.22	1	1	1	3	6	Imagine that you will start exercising regularly to promote health and vitality
70.15	33.5	1	3	70.15	1.85	72.02	12	84.04	7.11	91.23	3.14	0	1	1	7	6	Imagine that you will get your research published in a journal
103.69	33.5	1	4	103.69	1.3	105.01	12	117.04	2.14	119.25	1.72	1	0	1	2	7	Imagine that you will get stuck at a friend's house with screaming kids
137.23	33.5	1	5	137.23	0.76	138.02	12	150.04	1.94	152.06	2.49	0	1	0	7	7	Imagine that you will make new friends
170.78	33.5	1	6	170.78	0.22	171.01	12	183.04	2.99	186.1	1.38	0	0	0	1	6	Imagine that you will not be able to realize your full potential at work
204.32	33.5	1	7	204.32	2.68	207	12	219.03	1.35	220.46	0.82	1	0	0	3	7	Imagine that you will get locked out of your house
237.86	33.5	1	8	237.86	2.13	240.01	12	252.04	2.49	254.61	1.78	0	0	1	1	6	Imagine that you will put others in jeopardy because of your carelessness
271.4	33.5	1	9	271.4	1.59	273.02	12	285.05	2.22	287.35	1.32	0	0	1	1	7	Imagine that your place of employment will go out of business, and you have to find a new job
305.16	33.5	1	10	305.16	0.83	306.01	12	318.04	1.65	319.77	1.35	1	0	1	1	7	Imagine that you will lose your current home to a fire
338.7	33.5	1	11	338.7	0.29	339	12	351.03	2.77	353.88	1.13	0	0	0	3	6	Imagine that you will have an argument with your parents
372.24	33.5	1	12	372.24	2.74	375.01	12	387.04	2.99	390.11	2.67	0	1	0	7	7	Imagine that you will learn a lot about the world around you
405.79	33.5	1	13	405.79	2.2	408	12	420.03	1.55	421.66	2	0	1	1	7	6	Imagine that you will win an award
439.33	33.5	1	14	439.33	1.66	441.01	12	453.04	1.82	454.94	1.67	1	1	0	7	7	Imagine that you will successfully complete a difficult project you've been working on
472.87	33.5	1	15	472.87	1.11	474	12	486.03	2.77	488.88	1.8	1	0	0	1	6	Imagine that your car will break down when you're already running late
506.41	33.5	1	16	506.41	0.57	506.99	12	519.02	2.33	521.44	2.15	1	1	1	7	7	Imagine that you will make dinner for a potluck and everyone loves it
