onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.07	33.5	1	1	3.07	2.93	6.01	12	18.05	4.34	22.47	2.6	0	0	1	1	6	Imagine that you will have an argument with your parents
36.61	33.5	1	2	36.61	2.38	39.02	12	51.04	3.77	54.89	3.95	1	0	0	1	6	Imagine that you will lose your current home to a fire
70.16	33.5	1	3	70.16	1.84	72.02	12	84.05	3.04	87.17	4.87	1	0	0	1	7	Imagine that you will get stuck at a friend's house with screaming kids
103.7	33.5	1	4	103.7	1.3	105.01	12	117.04	3.22	120.34	4.14	0	0	0	1	6	Imagine that your place of employment will go out of business, and you have to find a new job
137.24	33.5	1	5	137.24	0.75	138	12	150.03	2.85	152.96	3.67	0	0	1	2	4	Imagine that you will not be able to realize your full potential at work
170.78	33.5	1	6	170.78	0.21	171.01	12	183.05	3.24	186.37	3.37	1	1	0	6	7	Imagine that you will make dinner for a potluck and everyone loves it
204.32	33.5	1	7	204.32	2.67	207	12	219.03	6	225.12	2.5	1	1	1	7	6	Imagine that you will win the lottery
237.86	33.5	1	8	237.86	2.12	239.99	12	252.02	3.25	255.36	3.54	0	1	1	7	5	Imagine that you will make new friends
271.4	33.5	1	9	271.4	1.58	273	12	285.03	4.22	289.33	3.24	0	1	0	5	2	Imagine that you will win an award
304.99	33.5	1	10	304.99	0.99	305.99	12	318.02	5.02	323.12	2.22	1	1	0	4	6	Imagine that you will start exercising regularly to promote health and vitality
338.53	33.5	1	11	338.53	0.44	339	12	351.02	3.52	354.63	3.44	0	1	0	6	5	Imagine that you will get your research published in a journal
372.07	33.5	1	12	372.07	2.9	374.99	12	387.02	3.79	390.89	1.42	0	1	1	5	4	Imagine that you will learn a lot about the world around you
405.61	33.5	1	13	405.61	2.36	408	12	420.02	5.6	425.71	2.75	1	0	1	1	4	Imagine that your car will break down when you're already running late
439.15	33.5	1	14	439.15	1.81	440.99	12	453.01	3.15	456.25	2.52	1	1	1	7	7	Imagine that you will successfully complete a difficult project you've been working on
472.69	33.5	1	15	472.69	1.27	473.98	12	486	3.97	490.06	4.7	1	0	1	3	5	Imagine that you will get locked out of your house
506.23	33.5	1	16	506.23	0.73	506.99	12	519.03	2.95	522.06	2.8	0	0	0	1	5	Imagine that you will put others in jeopardy because of your carelessness
