onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.06	33.5	4	1	3.06	2.94	6.02	12	18.06	3.64	21.78	0.87	0	1	0	4	1	Imagine that you will fulfill a promise to your friend
36.62	33.5	4	2	36.62	2.38	39.01	12	51.03	2.77	53.89	1.82	0	0	0	1	6	Imagine that you will get blamed for a hazardous accident
70.16	33.5	4	3	70.16	1.83	72.01	12	84.06	2.7	86.84	2	1	0	1	2	3	Imagine that there will be a natural disaster where you live
103.7	33.5	4	4	103.7	1.29	105	12	117.03	3.97	121.08	2.3	0	0	1	2	3	Imagine that you will be diagnosed with a rare disease
137.24	33.5	4	5	137.24	0.75	138.01	12	150.04	4.52	154.64	2	0	0	0	1	5	Imagine that you will file for bankruptcy
170.79	33.5	4	6	170.79	0.2	171	12	183.03	2.67	185.78	1.75	0	1	0	7	4	Imagine that you will achieve a strong sense of self-worth
204.33	33.5	4	7	204.33	2.66	207.01	12	219.04	3.69	222.8	1.23	0	1	1	7	4	Imagine that you will get good medical coverage at work
237.87	33.5	4	8	237.87	2.12	240	12	252.03	4.49	256.6	1.82	1	0	0	1	6	Imagine that there will be an infestation of bugs in your home
271.41	33.5	4	9	271.41	1.57	272.99	12	285.02	4.82	289.92	2.69	0	0	1	3	2	Imagine that you will catch one of your good friends stealing
304.95	33.5	4	10	304.95	1.03	306	12	318.02	3.5	321.61	2.07	1	1	0	7	5	Imagine that you will find your dream job that pays well with good hours
338.49	33.5	4	11	338.49	0.49	338.99	12	351.01	5.17	356.27	2.82	1	1	1	6	2	Imagine that you will see your favorite band in concert
372.03	33.5	4	12	372.03	2.95	375	12	387.02	2.8	389.91	2	1	0	1	1	6	Imagine that you will get food poisoning
405.57	33.5	4	13	405.57	2.4	407.99	12	420.01	3.64	423.73	1.63	0	1	1	6	4	Imagine that you will cultivate lasting friendships at work
439.11	33.5	4	14	439.11	1.86	440.98	12	453	2.62	455.71	2.1	1	1	0	2	5	Imagine that you will buy a car
472.65	33.5	4	15	472.65	1.32	473.99	12	486.01	3.27	489.36	1.45	1	1	1	7	6	Imagine that you will go on a romantic getaway with your significant other
506.19	33.5	4	16	506.19	0.77	506.98	12	519	3.6	522.69	1.68	1	0	0	4	7	Imagine that you will encounter a crawling insect in your bedroom
