onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.06	33.5	4	1	3.06	2.94	6.01	12	18.06	4.5	22.64	2.42	0	1	0	7	6	Imagine that you will get good medical coverage at work
36.6	33.5	4	2	36.6	2.4	39.02	12	51.06	3.89	55.03	2.79	1	1	0	7	6	Imagine that you will see your favorite band in concert
70.14	33.5	4	3	70.14	1.85	72.01	12	84.04	4.25	88.37	5.2	0	0	0	2	5	Imagine that you will be diagnosed with a rare disease
103.69	33.5	4	4	103.69	1.31	105.02	12	117.04	2.55	119.68	3.95	1	0	0	1	7	Imagine that you will get food poisoning
137.23	33.5	4	5	137.23	0.77	138.01	12	150.04	5.37	155.49	4.64	1	1	1	5	6	Imagine that you will buy a car
170.77	33.5	4	6	170.77	0.22	171.02	12	183.04	3.95	187.08	3.15	0	1	1	5	6	Imagine that you will achieve a strong sense of self-worth
204.31	33.5	4	7	204.31	2.68	207.01	12	219.04	3.49	222.61	4.1	1	1	1	6	4	Imagine that you will find your dream job that pays well with good hours
237.85	33.5	4	8	237.85	2.14	240	12	252.03	5.04	257.15	5.19	0	1	1	5	1	Imagine that you will fulfill a promise to your friend
271.39	33.5	4	9	271.39	1.6	273.01	12	285.04	2.88	288.01	4.97	1	1	0	7	7	Imagine that you will go on a romantic getaway with your significant other
305.19	33.5	4	10	305.19	0.8	306	12	318.03	3.85	321.96	5.7	0	1	0	6	6	Imagine that you will cultivate lasting friendships at work
338.73	33.5	4	11	338.73	0.26	339.01	12	351.04	4.02	355.14	4.05	0	0	0	2	5	Imagine that you will catch one of your good friends stealing
372.27	33.5	4	12	372.27	2.71	375	12	387.03	3.34	390.45	3.64	1	0	1	3	6	Imagine that you will encounter a crawling insect in your bedroom
405.81	33.5	4	13	405.81	2.17	408	12	420.02	2.47	422.57	6.66	0	0	1	2	7	Imagine that you will get blamed for a hazardous accident
439.35	33.5	4	14	439.35	1.63	441	12	453.03	2.58	455.7	3.69	1	0	1	1	7	Imagine that there will be an infestation of bugs in your home
472.89	33.5	4	15	472.89	1.09	473.99	12	486.02	5.05	491.16	5.94	1	0	0	3	6	Imagine that there will be a natural disaster where you live
506.43	33.5	4	16	506.43	0.54	507	12	519.03	4.35	523.47	4.57	0	0	1	2	3	Imagine that you will file for bankruptcy
