onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.02	33.5	1	1	3.02	2.98	6	12	18.02	4.41	22.5	2.47	1	0	0	1	6	Imagine that there will be a natural disaster where you live
36.57	33.5	1	2	36.57	2.43	39	12	51.02	1.94	53.02	2.52	0	1	1	5	2	Imagine that you will fulfill a promise to your friend
70.11	33.5	1	3	70.11	1.88	72	12	84.02	2.95	87.04	2.07	0	1	0	7	6	Imagine that you will cultivate lasting friendships at work
103.66	33.5	1	4	103.66	1.33	105.01	12	117.03	2.25	119.35	1.42	1	0	1	2	6	Imagine that you will encounter a crawling insect in your bedroom
137.21	33.5	1	5	137.21	0.79	138.01	12	150.03	1.8	151.9	1.77	0	0	0	1	1	Imagine that you will be diagnosed with a rare disease
170.76	33.5	1	6	170.76	0.24	171.01	12	183.03	2.04	185.13	1.44	1	1	0	7	7	Imagine that you will go on a romantic getaway with your significant other
204.31	33.5	1	7	204.31	2.69	207.01	12	219.03	1.32	220.41	1.7	0	0	1	1	4	Imagine that you will file for bankruptcy
237.86	33.5	1	8	237.86	2.14	240.01	12	252.03	1.22	253.31	1.44	1	1	1	5	5	Imagine that you will buy a car
271.41	33.5	1	9	271.41	1.59	273.01	12	285.03	1.5	286.59	1.57	1	0	1	1	6	Imagine that there will be an infestation of bugs in your home
304.95	33.5	1	10	304.95	1.04	306.01	12	318.02	1.27	319.36	1.57	1	1	0	4	3	Imagine that you will see your favorite band in concert
338.5	33.5	1	11	338.5	0.5	339	12	351.02	2.49	353.57	1.95	0	0	0	2	2	Imagine that you will catch one of your good friends stealing
372.05	33.5	1	12	372.05	2.95	375.01	12	387.02	1.32	388.41	1.8	0	0	1	1	5	Imagine that you will get blamed for a hazardous accident
405.6	33.5	1	13	405.6	2.4	408	12	420.02	2.02	422.11	1.67	1	1	1	7	5	Imagine that you will find your dream job that pays well with good hours
439.15	33.5	1	14	439.15	1.85	441	12	453.02	1.37	454.45	1.44	0	1	0	7	5	Imagine that you will get good medical coverage at work
472.7	33.5	1	15	472.7	1.3	474	12	486.02	2.22	488.3	2.37	0	1	1	6	7	Imagine that you will achieve a strong sense of self-worth
506.25	33.5	1	16	506.25	0.75	507	12	519.01	1.43	520.52	1.37	1	0	0	1	6	Imagine that you will get food poisoning
