onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.01	33.5	4	1	3.01	2.99	6.02	12	18.03	3.34	21.44	2.14	0	1	0	5	2	Imagine that you will get your research published in a journal
36.56	33.5	4	2	36.56	2.44	39.01	12	51.03	2.92	54.02	2.27	0	1	1	5	4	Imagine that you will make new friends
70.11	33.5	4	3	70.11	1.9	72.01	12	84.03	2.6	86.7	3.17	1	0	0	2	5	Imagine that you will get stuck at a friend's house with screaming kids
103.66	33.5	4	4	103.66	1.35	105.01	12	117.03	2.32	119.41	2.5	1	1	0	6	6	Imagine that you will start exercising regularly to promote health and vitality
137.21	33.5	4	5	137.21	0.8	138.01	12	150.03	7.09	157.19	3.86	1	1	0	6	4	Imagine that you will make dinner for a potluck and everyone loves it
170.76	33.5	4	6	170.76	0.25	171.01	12	183.02	2.94	186.03	1.22	0	0	1	3	3	Imagine that you will have an argument with your parents
204.3	33.5	4	7	204.3	2.7	207.01	12	219.03	3.97	223.06	2	0	0	0	2	3	Imagine that your place of employment will go out of business, and you have to find a new job
237.85	33.5	4	8	237.85	2.15	240.01	12	252.02	4.52	256.61	2.04	0	1	0	6	5	Imagine that you will win an award
271.4	33.5	4	9	271.4	1.6	273	12	285.02	3.09	288.17	2.34	1	0	1	3	6	Imagine that you will get locked out of your house
304.95	33.5	4	10	304.95	1.05	306.02	12	318.03	2.8	320.91	2.69	1	1	1	5	5	Imagine that you will successfully complete a difficult project you've been working on
338.5	33.5	4	11	338.5	0.5	339.02	12	351.03	5.63	356.72	4.16	0	1	1	5	3	Imagine that you will learn a lot about the world around you
372.05	33.5	4	12	372.05	2.95	375	12	387.02	5.94	393.03	2.86	0	0	0	2	1	Imagine that you will put others in jeopardy because of your carelessness
405.6	33.5	4	13	405.6	2.4	408	12	420.02	3.46	423.54	3.72	0	0	1	5	3	Imagine that you will not be able to realize your full potential at work
439.14	33.5	4	14	439.14	1.85	441.01	12	453.03	2.67	455.77	2.32	1	0	1	2	5	Imagine that your car will break down when you're already running late
472.69	33.5	4	15	472.69	1.3	474.01	12	486.03	3.49	489.58	4.57	1	1	1	5	4	Imagine that you will win the lottery
506.24	33.5	4	16	506.24	0.75	507.01	12	519.03	4.09	523.18	1.85	1	0	0	3	2	Imagine that you will lose your current home to a fire
