onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.08	33.5	3	1	3.08	2.92	6.01	12	18.05	2.32	20.45	1.18	0	1	1	6	6	Imagine that you will win an award
36.62	33.5	3	2	36.62	2.38	39.02	12	51.06	2.92	54.06	2.45	0	0	0	1	5	Imagine that you will have an argument with your parents
70.16	33.5	3	3	70.16	1.84	72.01	12	84.03	3.29	87.4	1.48	0	1	0	6	2	Imagine that you will make new friends
103.7	33.5	3	4	103.7	1.29	105.02	12	117.04	4.3	121.43	2.24	1	0	1	1	5	Imagine that you will get stuck at a friend's house with screaming kids
137.24	33.5	3	5	137.24	0.75	138.01	12	150.03	3.4	153.52	2.64	1	0	0	1	7	Imagine that your car will break down when you're already running late
171.01	33.5	3	6	171.01	2.97	174.02	12	186.04	2.75	188.88	3.3	0	0	1	3	1	Imagine that your place of employment will go out of business, and you have to find a new job
204.55	33.5	3	7	204.55	2.43	207.01	12	219.03	3.65	222.77	2.03	1	0	1	1	6	Imagine that you will lose your current home to a fire
238.09	33.5	3	8	238.09	1.89	239.99	12	252.02	3.49	255.59	3.22	0	0	0	2	6	Imagine that you will not be able to realize your full potential at work
271.64	33.5	3	9	271.64	1.35	273	12	285.03	4.15	289.26	0.97	1	1	0	4	5	Imagine that you will successfully complete a difficult project you've been working on
305.22	33.5	3	10	305.22	0.75	305.99	12	318.02	3.08	321.19	2.6	1	0	0	2	7	Imagine that you will get locked out of your house
338.77	33.5	3	11	338.77	0.21	339	12	351.03	3.1	354.21	1.03	1	1	0	4	5	Imagine that you will win the lottery
372.31	33.5	3	12	372.31	2.67	374.99	12	387.02	3.39	390.49	1.95	1	1	1	6	4	Imagine that you will make dinner for a potluck and everyone loves it
405.85	33.5	3	13	405.85	2.12	407.98	12	420.01	5.09	425.18	2.87	0	0	1	1	3	Imagine that you will put others in jeopardy because of your carelessness
439.39	33.5	3	14	439.39	1.58	440.99	12	453.01	3.97	457.07	2.7	1	1	1	6	6	Imagine that you will start exercising regularly to promote health and vitality
472.93	33.5	3	15	472.93	1.04	473.98	12	486	3.12	489.21	1.75	0	1	0	3	1	Imagine that you will learn a lot about the world around you
506.47	33.5	3	16	506.47	0.5	506.99	12	519.01	5.15	524.25	4.9	0	1	1	7	6	Imagine that you will get your research published in a journal
