onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.02	33.5	2	1	3.02	2.98	6.01	12	18.03	3.44	21.53	2.39	0	0	1	3	2	Imagine that you will not be able to realize your full potential at work
36.57	33.5	2	2	36.57	2.43	39.01	12	51.03	2.72	53.81	4.07	1	0	0	4	6	Imagine that you will get stuck at a friend's house with screaming kids
70.12	33.5	2	3	70.12	1.88	72.01	12	84.02	1.84	85.93	4.72	1	1	1	6	5	Imagine that you will successfully complete a difficult project you've been working on
103.67	33.5	2	4	103.67	1.33	105	12	117.02	3.29	120.38	1.52	1	1	1	6	5	Imagine that you will win the lottery
137.22	33.5	2	5	137.22	0.78	138	12	150.02	2.7	152.79	2.14	0	1	0	6	6	Imagine that you will win an award
170.77	33.5	2	6	170.77	0.23	171.02	12	183.03	2.55	185.65	2.22	0	0	0	2	2	Imagine that your place of employment will go out of business, and you have to find a new job
204.31	33.5	2	7	204.31	2.68	207	12	219.02	2.65	221.74	2.69	1	0	1	2	6	Imagine that your car will break down when you're already running late
237.86	33.5	2	8	237.86	2.13	240.02	12	252.03	3.09	255.19	2.12	0	1	1	5	3	Imagine that you will learn a lot about the world around you
271.41	33.5	2	9	271.41	1.58	273.01	12	285.03	4.31	289.4	1.94	0	0	1	3	4	Imagine that you will have an argument with your parents
304.96	33.5	2	10	304.96	1.04	306.01	12	318.03	2.62	320.72	2.37	1	1	0	6	5	Imagine that you will make dinner for a potluck and everyone loves it
338.51	33.5	2	11	338.51	0.49	339.01	12	351.03	1.97	353.06	2.39	1	0	1	2	6	Imagine that you will get locked out of your house
372.06	33.5	2	12	372.06	2.94	375.01	12	387.03	2.27	389.37	1.32	0	1	0	6	5	Imagine that you will get your research published in a journal
405.61	33.5	2	13	405.61	2.39	408.01	12	420.03	2.9	423	2.6	1	0	0	2	5	Imagine that you will lose your current home to a fire
439.15	33.5	2	14	439.15	1.84	441.01	12	453.02	2.15	455.24	1.5	1	1	0	7	6	Imagine that you will start exercising regularly to promote health and vitality
472.7	33.5	2	15	472.7	1.29	474	12	486.02	3.32	489.41	3	0	0	0	2	2	Imagine that you will put others in jeopardy because of your carelessness
506.25	33.5	2	16	506.25	0.74	507	12	519.02	2.37	521.46	1.87	0	1	1	6	6	Imagine that you will make new friends
