onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.07	33.5	4	1	3.07	2.6	5.69	12	17.73	2.02	19.83	1.33	0	1	0	4	3	Imagine that you will learn a lot about the world around you
36.61	33.5	4	2	36.61	2.39	39.03	12	51.07	3.35	54.51	2.62	1	0	0	3	6	Imagine that your car will break down when you're already running late
70.15	33.5	4	3	70.15	1.77	71.94	12	83.98	2.77	86.83	1.12	0	1	0	6	5	Imagine that you will make new friends
103.69	33.5	4	4	103.69	1.3	105.01	12	117.04	2	119.12	2.28	0	1	1	6	5	Imagine that you will get your research published in a journal
137.23	33.5	4	5	137.23	0.76	138.02	12	150.04	2.05	152.18	1.98	0	0	0	2	6	Imagine that you will not be able to realize your full potential at work
170.77	33.5	4	6	170.77	0.21	171.01	12	183.03	2.78	185.9	2.28	1	1	0	6	6	Imagine that you will successfully complete a difficult project you've been working on
204.31	33.5	4	7	204.31	2.67	207	12	219.02	3.15	222.26	1.93	1	0	1	3	6	Imagine that you will get stuck at a friend's house with screaming kids
237.86	33.5	4	8	237.86	2.13	240.01	12	252.03	1.73	253.85	1.4	0	0	1	4	4	Imagine that your place of employment will go out of business, and you have to find a new job
271.4	33.5	4	9	271.4	1.59	273	12	285.02	2.77	287.87	1.18	1	1	0	4	5	Imagine that you will win the lottery
304.94	33.5	4	10	304.94	1.04	306	12	318.03	2.05	320.16	2.27	1	0	1	3	5	Imagine that you will lose your current home to a fire
338.48	33.5	4	11	338.48	0.5	338.99	12	351.02	2.52	353.62	3.04	1	0	0	4	7	Imagine that you will get locked out of your house
372.02	33.5	4	12	372.02	1.91	373.95	12	385.98	2.7	388.76	1.33	1	1	1	5	5	Imagine that you will start exercising regularly to promote health and vitality
405.56	33.5	4	13	405.56	1.65	407.23	12	419.25	3.67	423	2.33	0	1	1	6	4	Imagine that you will win an award
439.1	33.5	4	14	439.1	1.44	440.55	12	452.58	2.34	454.99	1.55	0	0	0	2	5	Imagine that you will have an argument with your parents
472.64	33.5	4	15	472.64	1.33	473.99	12	486.02	2.04	488.13	1.85	0	0	1	2	5	Imagine that you will put others in jeopardy because of your carelessness
506.18	33.5	4	16	506.18	0.78	506.98	12	519.01	3.52	522.61	1.63	1	1	1	5	5	Imagine that you will make dinner for a potluck and everyone loves it
