onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.07	33.5	2	1	3.07	2.44	5.54	12	17.59	3.07	20.74	2.9	1	0	0	4	6	Imagine that you will get stuck at a friend's house with screaming kids
36.62	33.5	2	2	36.62	1.91	38.55	12	50.58	2.33	52.99	2.39	0	1	0	6	6	Imagine that you will get your research published in a journal
70.16	33.5	2	3	70.16	1.84	72.01	12	84.05	2.74	86.87	2.82	0	1	0	5	4	Imagine that you will win an award
103.7	33.5	2	4	103.7	1.3	105.01	12	117.04	2.2	119.32	3.02	1	1	0	5	4	Imagine that you will start exercising regularly to promote health and vitality
137.24	33.5	2	5	137.24	0.75	138.01	12	150.03	2.33	152.45	1.85	1	0	0	1	5	Imagine that you will lose your current home to a fire
170.78	33.5	2	6	170.78	0.21	171.01	12	183.04	2.3	185.42	1.4	1	0	1	3	5	Imagine that you will get locked out of your house
204.32	33.5	2	7	204.32	2.67	207	12	219.03	2.12	221.23	2.43	0	0	0	3	4	Imagine that your place of employment will go out of business, and you have to find a new job
237.86	33.5	2	8	237.86	2.12	239.99	12	252.02	2.58	254.69	2.77	0	1	1	4	3	Imagine that you will learn a lot about the world around you
271.4	33.5	2	9	271.4	1.58	273	12	285.03	3.29	288.4	2.54	0	0	1	3	4	Imagine that you will have an argument with your parents
304.94	33.5	2	10	304.94	1.04	305.99	12	318.02	2.17	320.27	1.35	1	1	0	6	6	Imagine that you will make dinner for a potluck and everyone loves it
338.48	33.5	2	11	338.48	0.49	339	12	351.02	2.22	353.33	2.03	0	0	0	2	5	Imagine that you will put others in jeopardy because of your carelessness
372.02	33.5	2	12	372.02	2.2	374.24	12	386.27	2.2	388.55	2.47	1	1	1	5	5	Imagine that you will win the lottery
405.56	33.5	2	13	405.56	2.41	408	12	420.02	2.97	423.08	3.05	1	1	1	6	6	Imagine that you will successfully complete a difficult project you've been working on
439.1	33.5	2	14	439.1	1.86	440.99	12	453.01	2.9	456	1.28	0	1	1	5	5	Imagine that you will make new friends
472.64	33.5	2	15	472.64	1.32	473.98	12	486	2.28	488.37	1.48	0	0	1	3	4	Imagine that you will not be able to realize your full potential at work
506.19	33.5	2	16	506.19	0.78	506.99	12	519.01	2.82	521.91	1.62	1	0	1	3	5	Imagine that your car will break down when you're already running late
