onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.07	33.5	3	1	3.07	2.93	6.02	12	18.06	2.48	20.63	1.57	0	0	1	1	7	Imagine that you will catch one of your good friends stealing
36.61	33.5	3	2	36.61	2.39	39.01	12	51.04	2.02	53.14	1.18	1	0	0	3	7	Imagine that there will be an infestation of bugs in your home
70.15	33.5	3	3	70.15	1.84	72.02	12	84.06	1.8	85.95	1.88	0	1	0	5	7	Imagine that you will fulfill a promise to your friend
103.69	33.5	3	4	103.69	1.3	105.01	12	117.04	1.84	118.95	1.88	1	0	1	3	1	Imagine that you will get food poisoning
137.23	33.5	3	5	137.23	0.76	138	12	150.03	3.1	153.21	2.02	0	1	1	5	2	Imagine that you will cultivate lasting friendships at work
170.82	33.5	3	6	170.82	0.16	171.01	12	183.03	1.8	184.92	0.65	0	1	1	4	1	Imagine that you will get good medical coverage at work
204.36	33.5	3	7	204.36	2.62	207	12	219.03	2.78	221.89	2.25	1	0	0	3	7	Imagine that you will encounter a crawling insect in your bedroom
237.91	33.5	3	8	237.91	2.08	240.01	12	252.03	1.28	253.4	0.77	1	1	1	5	5	Imagine that you will see your favorite band in concert
271.45	33.5	3	9	271.45	1.54	273	12	285.02	2.49	287.59	1.47	0	1	0	6	7	Imagine that you will achieve a strong sense of self-worth
304.99	33.5	3	10	304.99	0.99	306	12	318.03	3.08	321.2	1.07	1	1	0	4	1	Imagine that you will find your dream job that pays well with good hours
338.53	33.5	3	11	338.53	0.45	338.99	12	351.02	2.87	353.97	1.75	1	1	0	7	3	Imagine that you will buy a car
372.07	33.5	3	12	372.07	2.91	374.99	12	387.01	2.59	389.68	1.42	0	0	1	1	6	Imagine that you will be diagnosed with a rare disease
405.61	33.5	3	13	405.61	2.36	407.99	12	420.02	2.6	422.7	1.49	0	0	0	2	2	Imagine that you will get blamed for a hazardous accident
439.15	33.5	3	14	439.15	1.82	440.98	12	453.01	2.9	455.99	1.17	1	1	1	6	3	Imagine that you will go on a romantic getaway with your significant other
472.69	33.5	3	15	472.69	1.28	473.99	12	486.01	2.6	488.7	2.03	0	0	0	2	1	Imagine that you will file for bankruptcy
506.23	33.5	3	16	506.23	0.73	506.98	12	519.01	2.12	521.21	2.12	1	0	1	3	7	Imagine that there will be a natural disaster where you live
