onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.02	33.5	1	1	3.02	2.98	6.01	12	18.03	3.41	21.5	1.22	1	0	0	2	3	Imagine that your car will break down when you're already running late
36.57	33.5	1	2	36.57	2.43	39.01	12	51.03	4.64	55.73	2.02	0	1	1	5	3	Imagine that you will get your research published in a journal
70.12	33.5	1	3	70.12	1.88	72.01	12	84.02	3.24	87.33	5.39	1	0	0	3	5	Imagine that you will get locked out of your house
103.67	33.5	1	4	103.67	1.33	105	12	117.02	5.27	122.36	2.39	1	1	1	5	5	Imagine that you will start exercising regularly to promote health and vitality
137.22	33.5	1	5	137.22	0.79	138.02	12	150.04	3.07	153.17	1.8	1	0	1	2	6	Imagine that you will get stuck at a friend's house with screaming kids
170.77	33.5	1	6	170.77	0.24	171.02	12	183.03	2.32	185.42	4.29	1	1	0	7	4	Imagine that you will win the lottery
204.32	33.5	1	7	204.32	2.69	207.02	12	219.04	2.99	222.09	1.65	1	1	0	5	5	Imagine that you will successfully complete a difficult project you've been working on
237.86	33.5	1	8	237.86	2.14	240.02	12	252.03	1.97	254.07	4.56	1	0	1	1	6	Imagine that you will lose your current home to a fire
271.41	33.5	1	9	271.41	1.59	273.01	12	285.03	2.9	288	3.92	0	0	1	1	6	Imagine that you will put others in jeopardy because of your carelessness
304.96	33.5	1	10	304.96	1.04	306.01	12	318.03	3.77	321.87	2.19	0	0	1	2	3	Imagine that your place of employment will go out of business, and you have to find a new job
338.51	33.5	1	11	338.51	0.49	339.01	12	351.03	2.37	353.46	2.09	0	1	0	6	6	Imagine that you will learn a lot about the world around you
372.06	33.5	1	12	372.06	2.94	375.01	12	387.03	4.42	391.52	1.92	0	0	0	2	5	Imagine that you will have an argument with your parents
405.61	33.5	1	13	405.61	2.39	408.01	12	420.03	2.85	422.95	1.07	0	1	0	6	6	Imagine that you will make new friends
439.16	33.5	1	14	439.16	1.84	441.01	12	453.03	3.34	456.43	4.26	0	0	0	4	3	Imagine that you will not be able to realize your full potential at work
472.7	33.5	1	15	472.7	1.29	474.01	12	486.02	2.92	489.01	0.73	0	1	1	6	6	Imagine that you will win an award
506.25	33.5	1	16	506.25	0.74	507	12	519.02	4.54	523.63	0.8	1	1	1	4	6	Imagine that you will make dinner for a potluck and everyone loves it
