onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.02	33.5	3	1	3.02	2.98	6.01	12	18.02	6.63	24.72	1.94	0	0	0	3	5	Imagine that your place of employment will go out of business, and you have to find a new job
36.57	33.5	3	2	36.57	2.43	39	12	51.02	5.82	56.91	1.08	0	1	0	5	6	Imagine that you will get your research published in a journal
70.12	33.5	3	3	70.12	1.88	72	12	84.02	3.61	87.69	6.54	1	0	0	3	5	Imagine that you will lose your current home to a fire
103.66	33.5	3	4	103.66	1.33	105	12	117.02	1.82	118.9	3.89	0	0	1	3	5	Imagine that you will have an argument with your parents
137.21	33.5	3	5	137.21	0.78	138.01	12	150.03	2.92	153.02	0.68	0	0	0	2	6	Imagine that you will put others in jeopardy because of your carelessness
170.76	33.5	3	6	170.76	0.23	171.01	12	183.03	3.22	186.32	2.19	1	0	1	3	6	Imagine that you will get locked out of your house
204.31	33.5	3	7	204.31	2.68	207	12	219.02	5.52	224.61	1.75	0	1	0	5	5	Imagine that you will win an award
237.86	33.5	3	8	237.86	2.13	240	12	252.01	1.97	254.05	1.1	1	1	0	6	6	Imagine that you will make dinner for a potluck and everyone loves it
271.41	33.5	3	9	271.41	1.58	273.01	12	285.03	1.8	286.9	2.9	0	0	1	2	5	Imagine that you will not be able to realize your full potential at work
304.96	33.5	3	10	304.96	1.03	306.01	12	318.03	1.12	319.21	1.97	1	1	0	5	5	Imagine that you will start exercising regularly to promote health and vitality
338.5	33.5	3	11	338.5	0.49	339.01	12	351.02	1.84	352.93	3.19	1	0	1	2	5	Imagine that your car will break down when you're already running late
372.05	33.5	3	12	372.05	2.94	375.01	12	387.02	1.49	388.58	0.73	0	1	1	6	6	Imagine that you will learn a lot about the world around you
405.6	33.5	3	13	405.6	2.39	408.01	12	420.02	2.72	422.81	1.65	1	1	1	6	6	Imagine that you will successfully complete a difficult project you've been working on
439.15	33.5	3	14	439.15	1.84	441	12	453.02	3.47	456.56	1.85	1	0	0	3	6	Imagine that you will get stuck at a friend's house with screaming kids
472.7	33.5	3	15	472.7	1.3	474	12	486.02	2.12	488.2	2.1	0	1	1	5	5	Imagine that you will make new friends
506.25	33.5	3	16	506.25	0.75	507	12	519.02	3.91	522.99	1.75	1	1	1	6	6	Imagine that you will win the lottery
