onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.02	33.5	2	1	3.02	1.19	4.22	12	16.24	2.49	18.79	3.35	0	0	1	4	4	Imagine that you will catch one of your good friends stealing
36.56	33.5	2	2	36.56	2.44	39.02	12	51.04	2.02	53.12	1.27	1	1	1	6	6	Imagine that you will go on a romantic getaway with your significant other
70.11	33.5	2	3	70.11	1.89	72.02	12	84.03	2.12	86.22	1.07	0	1	1	6	5	Imagine that you will cultivate lasting friendships at work
103.66	33.5	2	4	103.66	1.34	105.01	12	117.03	4.74	121.84	2.29	0	0	1	1	6	Imagine that you will be diagnosed with a rare disease
137.21	33.5	2	5	137.21	0.79	138.01	12	150.03	2.72	152.82	4.71	0	1	1	2	5	Imagine that you will get good medical coverage at work
170.76	33.5	2	6	170.76	0.25	171.01	12	183.03	3.76	186.85	2.22	1	0	1	3	6	Imagine that you will get food poisoning
204.31	33.5	2	7	204.31	2.69	207.01	12	219.03	1.92	221.01	1.54	1	0	0	2	6	Imagine that there will be an infestation of bugs in your home
237.86	33.5	2	8	237.86	2.15	240.01	12	252.03	1.8	253.9	0.77	0	1	0	6	5	Imagine that you will achieve a strong sense of self-worth
271.4	33.5	2	9	271.4	1.6	273.01	12	285.02	1.72	286.81	0.75	0	0	0	2	5	Imagine that you will file for bankruptcy
304.95	33.5	2	10	304.95	1.04	306	12	318.02	2.77	320.86	3.04	1	0	1	2	5	Imagine that there will be a natural disaster where you live
338.5	33.5	2	11	338.5	0.5	339	12	351.02	2.09	353.17	3.22	1	1	0	2	5	Imagine that you will find your dream job that pays well with good hours
372.05	33.5	2	12	372.05	2.95	375	12	387.02	4.77	391.86	6.38	0	1	0	4	6	Imagine that you will fulfill a promise to your friend
405.6	33.5	2	13	405.6	2.4	408	12	420.02	4.17	424.26	1.24	1	1	1	5	5	Imagine that you will see your favorite band in concert
439.15	33.5	2	14	439.15	1.85	441	12	453.02	3.77	456.86	2.75	1	1	0	6	5	Imagine that you will buy a car
472.7	33.5	2	15	472.7	1.3	474	12	486.02	3.82	489.9	2.84	1	0	0	3	6	Imagine that you will encounter a crawling insect in your bedroom
506.24	33.5	2	16	506.24	0.75	507	12	519.01	3.57	522.65	2.79	0	0	0	3	6	Imagine that you will get blamed for a hazardous accident
