onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.07	33.5	4	1	3.07	2.93	6.02	12	18.06	2.67	20.81	2.82	0	1	1	6	4	Imagine that you will cultivate lasting friendships at work
36.61	33.5	4	2	36.61	2.39	39.01	12	51.04	1.58	52.7	1.9	1	1	0	4	3	Imagine that you will buy a car
70.15	33.5	4	3	70.15	1.84	72.02	12	84.08	5	89.16	2.75	1	0	1	2	3	Imagine that there will be a natural disaster where you live
103.69	33.5	4	4	103.69	1.3	105.01	12	117.03	2.69	119.8	1.4	1	1	1	7	6	Imagine that you will go on a romantic getaway with your significant other
137.23	33.5	4	5	137.23	0.76	138.02	12	150.04	1.73	151.86	0.78	0	1	1	6	3	Imagine that you will get good medical coverage at work
170.77	33.5	4	6	170.77	0.22	171.01	12	183.03	2.2	185.32	0.99	0	1	0	6	5	Imagine that you will achieve a strong sense of self-worth
204.31	33.5	4	7	204.31	2.67	207	12	219.02	3.07	222.17	1.33	0	1	0	7	6	Imagine that you will fulfill a promise to your friend
237.85	33.5	4	8	237.85	2.13	240	12	252.03	2.25	254.37	0.88	1	1	1	6	5	Imagine that you will see your favorite band in concert
271.39	33.5	4	9	271.39	1.59	273	12	285.02	3.8	288.91	3.42	0	0	0	1	6	Imagine that you will file for bankruptcy
304.98	33.5	4	10	304.98	1	306	12	318.03	2.58	320.7	3.97	0	0	0	2	6	Imagine that you will get blamed for a hazardous accident
338.53	33.5	4	11	338.53	0.45	338.99	12	351.02	2.45	353.55	3.19	1	1	0	6	6	Imagine that you will find your dream job that pays well with good hours
372.07	33.5	4	12	372.07	2.91	374.98	12	387.01	1.25	388.34	2.02	1	0	0	2	6	Imagine that you will encounter a crawling insect in your bedroom
405.61	33.5	4	13	405.61	2.37	407.99	12	420.02	1.47	421.57	2.58	1	0	1	2	4	Imagine that you will get food poisoning
439.15	33.5	4	14	439.15	1.82	440.98	12	453.01	1.48	454.57	3.89	0	0	1	1	6	Imagine that you will be diagnosed with a rare disease
472.69	33.5	4	15	472.69	1.28	473.99	12	486.01	4.34	490.43	4.42	1	0	0	2	6	Imagine that there will be an infestation of bugs in your home
506.23	33.5	4	16	506.23	0.74	506.98	12	519	1.33	520.42	2.83	0	0	1	2	3	Imagine that you will catch one of your good friends stealing
