onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.08	33.5	3	1	3.08	2.92	6.01	12	18.05	4.12	22.26	3.15	1	0	1	2	2	Imagine that you will lose your current home to a fire
36.62	33.5	3	2	36.62	2.38	39.02	12	51.04	2.64	53.76	1.92	0	1	0	5	6	Imagine that you will make new friends
70.16	33.5	3	3	70.16	1.84	72.02	12	84.05	1.92	86.05	3.15	1	0	0	3	5	Imagine that your car will break down when you're already running late
103.7	33.5	3	4	103.7	1.29	105.01	12	117.06	2.15	119.29	1.69	0	1	1	6	3	Imagine that you will win an award
137.24	33.5	3	5	137.24	0.75	138.01	12	150.05	3.42	153.55	3.95	0	0	1	3	2	Imagine that your place of employment will go out of business, and you have to find a new job
170.78	33.5	3	6	170.78	0.21	171.01	12	183.04	2.53	185.66	1.07	1	1	1	6	6	Imagine that you will start exercising regularly to promote health and vitality
204.32	33.5	3	7	204.32	2.67	207.01	12	219.05	1.42	220.55	3	1	0	1	4	5	Imagine that you will get stuck at a friend's house with screaming kids
237.86	33.5	3	8	237.86	2.12	239.99	12	252.02	2.02	254.12	1.74	0	0	0	2	6	Imagine that you will have an argument with your parents
271.4	33.5	3	9	271.4	1.58	273	12	285.03	1.58	286.7	2.28	0	0	0	1	7	Imagine that you will not be able to realize your full potential at work
304.94	33.5	3	10	304.94	1.04	305.99	12	318.02	2	320.1	3.94	0	1	0	6	3	Imagine that you will learn a lot about the world around you
338.48	33.5	3	11	338.48	0.5	339	12	351.03	3.84	354.94	3.94	1	0	0	3	7	Imagine that you will get locked out of your house
372.02	33.5	3	12	372.02	2.95	374.99	12	387.02	2.97	390.07	2.99	0	0	1	1	3	Imagine that you will put others in jeopardy because of your carelessness
405.56	33.5	3	13	405.56	2.41	408	12	420.02	5.39	425.5	2.12	0	1	1	6	5	Imagine that you will get your research published in a journal
439.1	33.5	3	14	439.1	1.87	440.99	12	453.01	2.77	455.87	1.17	1	1	0	6	5	Imagine that you will win the lottery
472.65	33.5	3	15	472.65	1.32	473.98	12	486.01	2.8	488.89	1.53	1	1	0	7	6	Imagine that you will successfully complete a difficult project you've been working on
506.19	33.5	3	16	506.19	0.78	506.99	12	519.01	2.67	521.76	3.74	1	1	1	5	3	Imagine that you will make dinner for a potluck and everyone loves it
