onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.07	33.5	2	1	3.07	2.93	6.03	12	18.07	1.18	19.34	4.69	1	1	0	5	4	Imagine that you will make dinner for a potluck and everyone loves it
36.61	33.5	2	2	36.61	2.38	39.03	12	51.08	3.22	54.38	1.84	1	0	0	1	7	Imagine that you will lose your current home to a fire
70.16	33.5	2	3	70.16	1.84	72.01	12	84.03	2.72	86.83	2.05	0	0	1	2	7	Imagine that you will have an argument with your parents
103.7	33.5	2	4	103.7	1.3	105.01	12	117.04	2.35	119.47	2.05	1	0	1	3	7	Imagine that you will get locked out of your house
137.24	33.5	2	5	137.24	0.75	138	12	150.03	2.79	152.9	1.85	1	0	1	2	5	Imagine that your car will break down when you're already running late
170.78	33.5	2	6	170.78	0.21	171.01	12	183.04	2.63	185.75	1.52	0	1	0	7	6	Imagine that you will win an award
204.32	33.5	2	7	204.32	2.67	207	12	219.03	2.84	221.95	3.27	1	1	0	5	7	Imagine that you will start exercising regularly to promote health and vitality
237.86	33.5	2	8	237.86	2.13	240.01	12	252.03	2.12	254.24	1.93	1	0	0	4	7	Imagine that you will get stuck at a friend's house with screaming kids
271.4	33.5	2	9	271.4	1.58	273	12	285.03	1.92	287.03	1.35	0	0	0	1	7	Imagine that you will put others in jeopardy because of your carelessness
304.94	33.5	2	10	304.94	1.04	306.01	12	318.03	2.29	320.4	1.07	1	1	1	7	7	Imagine that you will successfully complete a difficult project you've been working on
338.48	33.5	2	11	338.48	0.5	339	12	351.02	1.9	353.01	1.45	0	1	1	6	5	Imagine that you will make new friends
372.02	33.5	2	12	372.02	2.95	374.99	12	387.02	2.05	389.15	1.05	1	1	1	7	3	Imagine that you will win the lottery
405.56	33.5	2	13	405.56	2.41	408	12	420.02	3.35	423.46	1.73	0	0	0	1	5	Imagine that your place of employment will go out of business, and you have to find a new job
439.1	33.5	2	14	439.1	1.87	440.99	12	453.01	1.13	454.23	0.9	0	0	1	4	4	Imagine that you will not be able to realize your full potential at work
472.64	33.5	2	15	472.64	1.32	473.98	12	486	2.52	488.6	1.18	0	1	1	7	7	Imagine that you will learn a lot about the world around you
506.18	33.5	2	16	506.18	0.78	506.98	12	519.01	1.97	521.06	1.73	0	1	0	5	7	Imagine that you will get your research published in a journal
