onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.03	33.5	3	1	3.03	2.98	6.01	12	18.03	5.84	23.94	2.15	1	0	1	2	5	Imagine that you will get locked out of your house
36.57	33.5	3	2	36.57	2.44	39.03	12	51.04	2.5	53.62	1.47	1	0	1	3	4	Imagine that your car will break down when you're already running late
70.12	33.5	3	3	70.12	1.88	72.02	12	84.04	4.74	88.85	3.17	1	1	1	5	2	Imagine that you will successfully complete a difficult project you've been working on
103.67	33.5	3	4	103.67	1.33	105.02	12	117.04	3.17	120.28	3.14	0	1	1	4	2	Imagine that you will learn a lot about the world around you
137.22	33.5	3	5	137.22	0.78	138.02	12	150.04	4.46	154.56	3	0	1	0	5	3	Imagine that you will win an award
170.77	33.5	3	6	170.77	0.24	171.02	12	183.04	3.27	186.37	2.79	0	0	0	3	3	Imagine that you will put others in jeopardy because of your carelessness
204.32	33.5	3	7	204.32	2.69	207.02	12	219.04	2.9	222.01	1.97	0	0	1	2	5	Imagine that you will have an argument with your parents
237.86	33.5	3	8	237.86	2.14	240.02	12	252.04	3.99	256.09	2.2	0	0	0	2	5	Imagine that your place of employment will go out of business, and you have to find a new job
271.41	33.5	3	9	271.41	1.59	273.02	12	285.03	4.82	289.92	1.4	0	0	1	4	3	Imagine that you will not be able to realize your full potential at work
304.96	33.5	3	10	304.96	1.04	306.01	12	318.03	2.87	320.97	2.35	0	1	0	5	3	Imagine that you will get your research published in a journal
338.51	33.5	3	11	338.51	0.49	339.01	12	351.03	3.77	354.87	1.27	0	1	1	5	3	Imagine that you will make new friends
372.06	33.5	3	12	372.06	2.94	375.01	12	387.03	1.99	389.08	1.67	1	1	0	6	5	Imagine that you will make dinner for a potluck and everyone loves it
405.61	33.5	3	13	405.61	2.39	408.01	12	420.03	2.5	422.6	1.47	1	0	0	3	4	Imagine that you will get stuck at a friend's house with screaming kids
439.16	33.5	3	14	439.16	1.84	441.01	12	453.03	2.29	455.38	2.29	1	1	1	6	5	Imagine that you will win the lottery
472.7	33.5	3	15	472.7	1.29	474.01	12	486.02	4.24	490.33	2.29	1	0	0	4	4	Imagine that you will lose your current home to a fire
506.25	33.5	3	16	506.25	0.74	507	12	519.02	3.84	522.93	1.74	1	1	0	7	6	Imagine that you will start exercising regularly to promote health and vitality
