onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.01	33.5	1	1	3.01	2.99	6	12	18.02	4.39	22.48	3.51	1	0	1	3	3	Imagine that you will lose your current home to a fire
36.56	33.5	1	2	36.56	2.44	39.02	12	51.03	3.97	55.07	1.99	0	0	1	2	5	Imagine that your place of employment will go out of business, and you have to find a new job
70.11	33.5	1	3	70.11	1.89	72.01	12	84.03	3.71	87.8	1.35	1	0	1	3	5	Imagine that you will get stuck at a friend's house with screaming kids
103.66	33.5	1	4	103.66	1.34	105.01	12	117.03	4.84	121.94	1.49	1	0	0	3	6	Imagine that you will get locked out of your house
137.21	33.5	1	5	137.21	0.79	138.01	12	150.03	2.29	152.38	1.7	1	1	0	5	4	Imagine that you will successfully complete a difficult project you've been working on
170.76	33.5	1	6	170.76	0.24	171.01	12	183.03	2.9	186	1.9	0	0	1	4	2	Imagine that you will put others in jeopardy because of your carelessness
204.31	33.5	1	7	204.31	2.69	207.01	12	219.03	2.19	221.28	1.47	0	0	0	3	4	Imagine that you will not be able to realize your full potential at work
237.85	33.5	1	8	237.85	2.14	240.01	12	252.03	4.56	256.65	2.7	1	1	1	5	4	Imagine that you will start exercising regularly to promote health and vitality
271.4	33.5	1	9	271.4	1.59	273.01	12	285.02	2.9	287.99	2.27	0	0	0	2	5	Imagine that you will have an argument with your parents
304.95	33.5	1	10	304.95	1.05	306	12	318.02	3.49	321.58	1.9	1	1	0	5	5	Imagine that you will win the lottery
338.5	33.5	1	11	338.5	0.5	339	12	351.02	4.34	355.42	1.25	1	0	0	3	4	Imagine that your car will break down when you're already running late
372.05	33.5	1	12	372.05	2.95	375	12	387.02	2.85	389.94	1.67	0	1	0	5	5	Imagine that you will make new friends
405.6	33.5	1	13	405.6	2.4	408	12	420.02	2.82	422.91	2.8	1	1	1	5	5	Imagine that you will make dinner for a potluck and everyone loves it
439.15	33.5	1	14	439.15	1.85	441	12	453.02	3.67	456.75	3.59	0	1	0	4	1	Imagine that you will learn a lot about the world around you
472.69	33.5	1	15	472.69	1.3	474	12	486.01	1.92	488	3.66	0	1	1	5	4	Imagine that you will win an award
506.24	33.5	1	16	506.24	0.75	506.99	12	519.01	7.04	526.12	1.6	0	1	1	5	4	Imagine that you will get your research published in a journal
