onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.07	33.5	1	1	3.07	2.93	6.02	12	18.06	3.28	21.43	1.7	1	1	1	6	5	Imagine that you will win the lottery
36.61	33.5	1	2	36.61	2.39	39.01	12	51.04	3.34	54.46	3.57	0	1	1	5	4	Imagine that you will learn a lot about the world around you
70.15	33.5	1	3	70.15	1.85	72.02	12	84.06	4.09	88.23	1.4	0	1	0	7	6	Imagine that you will get your research published in a journal
103.69	33.5	1	4	103.69	1.3	105.01	12	117.05	2.73	119.87	4.92	0	0	0	2	5	Imagine that your place of employment will go out of business, and you have to find a new job
137.23	33.5	1	5	137.23	0.76	138.02	12	150.04	5.79	155.92	3.42	0	0	1	3	2	Imagine that you will have an argument with your parents
170.78	33.5	1	6	170.78	0.22	171.01	12	183.04	3.97	187.09	3.54	1	1	1	5	4	Imagine that you will successfully complete a difficult project you've been working on
204.32	33.5	1	7	204.32	2.68	207.02	12	219.05	3.29	222.42	4.24	1	1	0	6	5	Imagine that you will make dinner for a potluck and everyone loves it
237.86	33.5	1	8	237.86	2.13	240.01	12	252.04	3.87	255.99	3.94	0	0	0	3	5	Imagine that you will put others in jeopardy because of your carelessness
271.4	33.5	1	9	271.4	1.59	273	12	285.03	7.1	292.22	3.79	0	1	0	7	6	Imagine that you will win an award
304.94	33.5	1	10	304.94	1.05	306.01	12	318.04	2.2	320.32	4.37	1	1	0	7	5	Imagine that you will start exercising regularly to promote health and vitality
338.49	33.5	1	11	338.49	0.5	339	12	351.03	4.52	355.63	4.07	1	0	0	1	5	Imagine that you will lose your current home to a fire
372.03	33.5	1	12	372.03	2.96	375.01	12	387.04	3.29	390.41	4.46	1	0	1	2	5	Imagine that your car will break down when you're already running late
405.57	33.5	1	13	405.57	2.42	408.01	12	420.03	6.04	426.15	3.2	1	0	0	3	6	Imagine that you will get stuck at a friend's house with screaming kids
439.11	33.5	1	14	439.11	1.88	441.01	12	453.04	3.39	456.51	3.22	0	0	1	3	1	Imagine that you will not be able to realize your full potential at work
472.65	33.5	1	15	472.65	1.33	474	12	486.03	3.5	489.62	3.67	1	0	1	2	5	Imagine that you will get locked out of your house
506.2	33.5	1	16	506.2	0.79	507	12	519.02	4.47	523.58	1.87	0	1	1	4	1	Imagine that you will make new friends
