onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.06	33.5	3	1	3.06	2.94	6.02	12	18.06	3.79	21.93	1.62	1	1	0	7	7	Imagine that you will successfully complete a difficult project you've been working on
36.61	33.5	3	2	36.61	2.39	39.03	12	51.05	3.29	54.42	4.25	0	0	1	3	1	Imagine that your place of employment will go out of business, and you have to find a new job
70.15	33.5	3	3	70.15	1.85	72.02	12	84.06	3.34	87.48	3.8	0	0	0	4	1	Imagine that you will not be able to realize your full potential at work
103.69	33.5	3	4	103.69	1.31	105.01	12	117.03	3.1	120.22	3.82	0	1	1	3	5	Imagine that you will get your research published in a journal
137.23	33.5	3	5	137.23	0.76	138.02	12	150.06	4.59	154.73	2.59	0	1	0	6	5	Imagine that you will make new friends
170.77	33.5	3	6	170.77	0.22	171.01	12	183.03	6.24	189.35	3.44	1	1	1	5	2	Imagine that you will make dinner for a potluck and everyone loves it
204.32	33.5	3	7	204.32	2.68	207.02	12	219.04	4.67	223.8	2.87	0	1	0	4	5	Imagine that you will learn a lot about the world around you
237.86	33.5	3	8	237.86	2.13	240.01	12	252.04	4.84	256.96	3.94	1	0	1	3	1	Imagine that you will get stuck at a friend's house with screaming kids
271.4	33.5	3	9	271.4	1.59	273	12	285.03	5.89	291	2.49	1	0	1	1	7	Imagine that you will lose your current home to a fire
304.94	33.5	3	10	304.94	1.05	306.01	12	318.03	6.01	324.12	3.72	1	0	0	4	5	Imagine that you will get locked out of your house
338.48	33.5	3	11	338.48	0.51	339	12	351.03	4.4	355.51	4.69	1	1	1	4	4	Imagine that you will start exercising regularly to promote health and vitality
372.03	33.5	3	12	372.03	2.96	375.01	12	387.04	2.17	389.29	1.6	0	0	0	2	6	Imagine that you will have an argument with your parents
405.57	33.5	3	13	405.57	2.42	408	12	420.03	3.13	423.25	2.37	0	1	1	7	6	Imagine that you will win an award
439.11	33.5	3	14	439.11	1.88	441.01	12	453.04	4.3	457.42	4.65	1	0	0	1	6	Imagine that your car will break down when you're already running late
472.65	33.5	3	15	472.65	1.33	474	12	486.03	5.44	491.55	2.74	1	1	0	7	6	Imagine that you will win the lottery
506.19	33.5	3	16	506.19	0.79	507.01	12	519.04	2.74	521.85	3.62	0	0	1	2	5	Imagine that you will put others in jeopardy because of your carelessness
