onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.02	33.5	4	1	3.02	2.98	6.01	12	18.03	4.17	22.27	1.95	0	0	1	1	4	Imagine that you will have an argument with your parents
36.57	33.5	4	2	36.57	2.43	39.01	12	51.02	1.77	52.86	2.9	1	1	1	7	5	Imagine that you will win the lottery
70.12	33.5	4	3	70.12	1.88	72.01	12	84.02	2.79	86.88	1.64	1	1	0	6	5	Imagine that you will make dinner for a potluck and everyone loves it
103.67	33.5	4	4	103.67	1.33	105	12	117.02	2.37	119.46	1.82	0	0	0	3	4	Imagine that you will put others in jeopardy because of your carelessness
137.22	33.5	4	5	137.22	0.78	138	12	150.02	5.19	155.28	2.12	0	1	1	5	3	Imagine that you will make new friends
170.76	33.5	4	6	170.76	0.23	171.01	12	183.03	2.29	185.39	1.4	1	1	1	5	3	Imagine that you will successfully complete a difficult project you've been working on
204.31	33.5	4	7	204.31	2.69	207	12	219.02	5.19	224.27	1.9	0	1	0	6	3	Imagine that you will win an award
237.86	33.5	4	8	237.86	2.13	240.01	12	252.03	4.29	256.39	1.85	0	0	1	2	3	Imagine that you will not be able to realize your full potential at work
271.41	33.5	4	9	271.41	1.59	273.01	12	285.03	5.68	290.77	1.44	1	0	0	2	4	Imagine that you will get stuck at a friend's house with screaming kids
304.96	33.5	4	10	304.96	1.04	306.01	12	318.03	2.59	320.68	1.82	0	1	1	4	4	Imagine that you will learn a lot about the world around you
338.51	33.5	4	11	338.51	0.49	339.01	12	351.03	3.37	354.46	1.17	0	0	0	1	3	Imagine that your place of employment will go out of business, and you have to find a new job
372.06	33.5	4	12	372.06	2.94	375.01	12	387.03	3.27	390.37	1.87	1	0	0	1	7	Imagine that you will lose your current home to a fire
405.6	33.5	4	13	405.6	2.39	408.01	12	420.03	3.99	424.08	1.12	1	0	1	3	4	Imagine that you will get locked out of your house
439.15	33.5	4	14	439.15	1.84	441.01	12	453.02	4.94	458.03	1.19	1	1	0	6	3	Imagine that you will start exercising regularly to promote health and vitality
472.7	33.5	4	15	472.7	1.29	474	12	486.02	1.54	487.62	1.34	0	1	0	5	2	Imagine that you will get your research published in a journal
506.25	33.5	4	16	506.25	0.74	507	12	519.02	2.47	521.56	1.47	1	0	1	2	3	Imagine that your car will break down when you're already running late
