onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.03	33.5	3	1	3.03	2.97	6.01	12	18.03	2.77	20.87	1.97	0	1	0	7	7	Imagine that you will make new friends
36.57	33.5	3	2	36.57	2.43	39.01	12	51.03	2.77	53.86	1.52	1	0	1	1	6	Imagine that you will lose your current home to a fire
70.12	33.5	3	3	70.12	1.88	72.01	12	84.03	2.35	86.45	1.72	1	1	1	7	5	Imagine that you will make dinner for a potluck and everyone loves it
103.67	33.5	3	4	103.67	1.33	105.01	12	117.02	1.9	118.99	1.08	1	1	0	7	6	Imagine that you will successfully complete a difficult project you've been working on
137.22	33.5	3	5	137.22	0.78	138	12	150.02	3.17	153.26	2.3	0	1	1	7	7	Imagine that you will get your research published in a journal
170.77	33.5	3	6	170.77	0.23	171	12	183.02	4.94	188.03	1.32	1	1	0	7	6	Imagine that you will win the lottery
204.32	33.5	3	7	204.32	2.68	207	12	219.02	3.29	222.38	1	0	0	1	1	7	Imagine that you will put others in jeopardy because of your carelessness
237.87	33.5	3	8	237.87	2.13	240	12	252.02	5.14	257.23	1.27	0	0	0	1	6	Imagine that you will not be able to realize your full potential at work
271.41	33.5	3	9	271.41	1.58	273	12	285.02	2.64	287.72	1.57	1	1	1	5	1	Imagine that you will start exercising regularly to promote health and vitality
304.96	33.5	3	10	304.96	1.03	306	12	318.01	3.52	321.6	1.42	0	0	0	1	5	Imagine that you will have an argument with your parents
338.51	33.5	3	11	338.51	0.48	339.01	12	351.03	2.07	353.16	1.17	0	1	1	7	7	Imagine that you will win an award
372.06	33.5	3	12	372.06	2.94	375	12	387.01	3.87	390.95	1.22	1	0	0	2	5	Imagine that your car will break down when you're already running late
405.61	33.5	3	13	405.61	2.39	408.01	12	420.03	2.99	423.08	2.05	1	0	1	4	6	Imagine that you will get stuck at a friend's house with screaming kids
439.16	33.5	3	14	439.16	1.84	441.01	12	453.03	4.01	457.1	2.3	1	0	0	2	5	Imagine that you will get locked out of your house
472.7	33.5	3	15	472.7	1.29	474.01	12	486.02	4.81	490.9	2.3	0	0	1	2	4	Imagine that your place of employment will go out of business, and you have to find a new job
506.25	33.5	3	16	506.25	0.74	507	12	519.02	2.52	521.61	1.79	0	1	0	5	3	Imagine that you will learn a lot about the world around you
