onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.01	33.5	2	1	3.01	2.99	6	12	18.02	2.09	20.17	1.82	1	1	1	7	7	Imagine that you will find your dream job that pays well with good hours
36.56	33.5	2	2	36.56	2.44	39.02	12	51.03	2.7	53.81	1.64	1	1	0	7	6	Imagine that you will go on a romantic getaway with your significant other
70.11	33.5	2	3	70.11	1.89	72.01	12	84.03	4.02	88.12	2.87	1	0	0	1	7	Imagine that you will get food poisoning
103.66	33.5	2	4	103.66	1.34	105.01	12	117.03	5.18	122.27	1.55	1	1	0	5	6	Imagine that you will see your favorite band in concert
137.21	33.5	2	5	137.21	0.79	138.01	12	150.03	4.84	154.93	0.7	0	1	0	4	4	Imagine that you will get good medical coverage at work
170.76	33.5	2	6	170.76	0.24	171.01	12	183.03	2.75	185.85	1.15	1	0	1	1	7	Imagine that there will be an infestation of bugs in your home
204.31	33.5	2	7	204.31	2.69	207.01	12	219.03	3.5	222.6	4.02	0	0	1	3	2	Imagine that you will get blamed for a hazardous accident
237.85	33.5	2	8	237.85	2.14	240.01	12	252.03	5.71	257.8	1.84	0	1	0	7	6	Imagine that you will cultivate lasting friendships at work
271.4	33.5	2	9	271.4	1.59	273.01	12	285.02	2.37	287.46	3.41	1	1	1	5	7	Imagine that you will buy a car
304.95	33.5	2	10	304.95	1.04	306	12	318.02	3.07	321.16	2.6	1	0	0	1	1	Imagine that there will be a natural disaster where you live
338.5	33.5	2	11	338.5	0.5	339	12	351.02	2.47	353.56	1.77	0	1	1	6	5	Imagine that you will fulfill a promise to your friend
372.05	33.5	2	12	372.05	2.95	375	12	387.02	4.39	391.48	1.84	0	0	0	1	5	Imagine that you will be diagnosed with a rare disease
405.6	33.5	2	13	405.6	2.4	408	12	420.02	3.59	423.67	2.32	0	0	0	2	3	Imagine that you will catch one of your good friends stealing
439.15	33.5	2	14	439.15	1.85	441	12	453.02	3.47	456.55	1.13	1	0	1	1	6	Imagine that you will encounter a crawling insect in your bedroom
472.69	33.5	2	15	472.69	1.3	474	12	486.01	2.39	488.47	1.03	0	1	1	7	7	Imagine that you will achieve a strong sense of self-worth
506.24	33.5	2	16	506.24	0.75	507.01	12	519.03	2.24	521.33	1.77	0	0	1	1	2	Imagine that you will file for bankruptcy
