onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.02	33.5	4	1	3.02	2.98	6.01	12	18.03	2.94	21.03	1.44	0	0	1	2	5	Imagine that you will not be able to realize your full potential at work
36.57	33.5	4	2	36.57	2.43	39.01	12	51.03	2.34	53.43	2.39	1	0	1	4	6	Imagine that your car will break down when you're already running late
70.12	33.5	4	3	70.12	1.88	72.01	12	84.02	0.77	84.86	3.02	0	1	0	4	4	Imagine that you will get your research published in a journal
103.67	33.5	4	4	103.67	1.33	105	12	117.02	2.15	119.24	3.99	1	1	0	6	5	Imagine that you will start exercising regularly to promote health and vitality
137.22	33.5	4	5	137.22	0.78	138	12	150.02	2.29	152.37	1.8	0	0	0	2	6	Imagine that you will put others in jeopardy because of your carelessness
170.77	33.5	4	6	170.77	0.23	171.02	12	183.03	2.65	185.75	3.41	0	1	0	4	3	Imagine that you will win an award
204.31	33.5	4	7	204.31	2.68	207	12	219.02	2.4	221.49	2.45	0	1	1	4	3	Imagine that you will learn a lot about the world around you
237.86	33.5	4	8	237.86	2.13	240.02	12	252.03	5.64	257.74	1.79	1	1	1	4	3	Imagine that you will successfully complete a difficult project you've been working on
271.41	33.5	4	9	271.41	1.58	273.01	12	285.03	3.16	288.25	1.9	0	0	1	2	5	Imagine that you will have an argument with your parents
304.96	33.5	4	10	304.96	1.04	306.01	12	318.03	3.32	321.42	6.08	1	0	0	2	5	Imagine that you will get stuck at a friend's house with screaming kids
338.51	33.5	4	11	338.51	0.49	339.01	12	351.03	3.54	354.63	0.8	0	1	1	5	3	Imagine that you will make new friends
372.06	33.5	4	12	372.06	2.94	375.01	12	387.03	4.11	391.2	1.14	1	1	1	5	3	Imagine that you will win the lottery
405.6	33.5	4	13	405.6	2.39	408.01	12	420.03	3.25	423.35	1.82	1	0	1	3	4	Imagine that you will get locked out of your house
439.15	33.5	4	14	439.15	1.84	441.01	12	453.02	2.62	455.71	1.72	1	0	0	3	5	Imagine that you will lose your current home to a fire
472.7	33.5	4	15	472.7	1.29	474	12	486.02	3.02	489.11	1.53	0	0	0	3	4	Imagine that your place of employment will go out of business, and you have to find a new job
506.25	33.5	4	16	506.25	0.74	507	12	519.02	3.25	522.34	0.97	1	1	0	4	5	Imagine that you will make dinner for a potluck and everyone loves it
