onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.07	33.5	2	1	3.07	2.93	6.02	12	18.06	2.97	21.11	3.3	1	1	1	7	7	Imagine that you will go on a romantic getaway with your significant other
36.61	33.5	2	2	36.61	2.39	39.03	12	51.07	3.7	54.86	3.22	0	0	1	1	6	Imagine that you will catch one of your good friends stealing
70.15	33.5	2	3	70.15	1.84	72.02	12	84.04	3.49	87.61	5.15	1	0	1	1	6	Imagine that you will get food poisoning
103.69	33.5	2	4	103.69	1.3	105.01	12	117.04	4.1	121.22	5.04	1	1	0	6	5	Imagine that you will find your dream job that pays well with good hours
137.24	33.5	2	5	137.24	0.76	138.02	12	150.04	4.87	155	3.95	0	0	1	2	5	Imagine that you will be diagnosed with a rare disease
170.78	33.5	2	6	170.78	0.22	171.01	12	183.04	3.95	187.07	4.77	0	1	0	6	6	Imagine that you will fulfill a promise to your friend
204.32	33.5	2	7	204.32	2.67	207	12	219.03	2.95	222.07	3.97	1	0	0	1	7	Imagine that you will encounter a crawling insect in your bedroom
237.86	33.5	2	8	237.86	2.13	240.01	12	252.04	4.17	256.29	5.59	1	0	1	2	5	Imagine that there will be a natural disaster where you live
271.4	33.5	2	9	271.4	1.59	273	12	285.03	4.25	289.36	5.09	1	0	0	2	7	Imagine that there will be an infestation of bugs in your home
304.94	33.5	2	10	304.94	1.04	306.01	12	318.04	3.95	322.07	4.27	1	1	1	6	5	Imagine that you will see your favorite band in concert
338.48	33.5	2	11	338.48	0.5	339	12	351.03	3.64	354.75	4.5	0	0	0	2	5	Imagine that you will get blamed for a hazardous accident
372.03	33.5	2	12	372.03	2.96	375	12	387.02	2.92	390.02	5.55	1	1	0	4	7	Imagine that you will buy a car
405.57	33.5	2	13	405.57	2.42	408	12	420.03	5.15	425.27	5.42	0	0	0	2	4	Imagine that you will file for bankruptcy
439.11	33.5	2	14	439.11	1.87	441	12	453.02	3.92	457.02	3.47	0	1	0	5	2	Imagine that you will achieve a strong sense of self-worth
472.65	33.5	2	15	472.65	1.33	474	12	486.03	4.72	490.83	2.34	0	1	1	7	5	Imagine that you will get good medical coverage at work
506.19	33.5	2	16	506.19	0.79	506.99	12	519.02	5.77	524.87	4.49	0	1	1	6	5	Imagine that you will cultivate lasting friendships at work
