onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.07	33.5	1	1	3.07	2.93	6.02	12	18.06	5.55	23.7	4.05	0	0	1	3	2	Imagine that your place of employment will go out of business, and you have to find a new job
36.61	33.5	1	2	36.61	2.39	39.03	12	51.05	2.78	53.92	3.49	1	1	1	5	6	Imagine that you will start exercising regularly to promote health and vitality
70.15	33.5	1	3	70.15	1.85	72.02	12	84.06	4.55	88.7	5.6	0	1	1	6	5	Imagine that you will win an award
103.69	33.5	1	4	103.69	1.3	105.01	12	117.04	4.59	121.71	4.22	1	0	0	2	6	Imagine that your car will break down when you're already running late
137.23	33.5	1	5	137.23	0.76	138.02	12	150.04	3.24	153.36	5.99	0	1	0	6	5	Imagine that you will make new friends
170.78	33.5	1	6	170.78	0.22	171.01	12	183.04	3.32	186.44	4.72	1	1	0	5	7	Imagine that you will successfully complete a difficult project you've been working on
204.32	33.5	1	7	204.32	2.67	207	12	219.03	5.07	224.18	4.19	0	1	0	4	3	Imagine that you will learn a lot about the world around you
237.86	33.5	1	8	237.86	2.13	240.01	12	252.04	4.84	256.96	4.09	1	0	0	1	6	Imagine that you will get locked out of your house
271.4	33.5	1	9	271.4	1.59	273	12	285.03	4.89	290	4.82	0	1	1	6	5	Imagine that you will get your research published in a journal
304.94	33.5	1	10	304.94	1.04	306.01	12	318.04	5.62	323.74	4.37	0	0	1	4	2	Imagine that you will put others in jeopardy because of your carelessness
338.48	33.5	1	11	338.48	0.5	339	12	351.03	3.55	354.66	4.39	0	0	0	2	6	Imagine that you will not be able to realize your full potential at work
372.03	33.5	1	12	372.03	2.96	375	12	387.02	3.39	390.49	4.67	0	0	0	1	7	Imagine that you will have an argument with your parents
405.57	33.5	1	13	405.57	2.42	408	12	420.03	3.77	423.88	4.6	1	1	1	6	6	Imagine that you will make dinner for a potluck and everyone loves it
439.11	33.5	1	14	439.11	1.87	441	12	453.02	4.69	457.79	6	1	0	1	1	7	Imagine that you will get stuck at a friend's house with screaming kids
472.65	33.5	1	15	472.65	1.33	474	12	486.03	4.8	490.91	3.4	1	1	0	6	5	Imagine that you will win the lottery
506.19	33.5	1	16	506.19	0.79	506.99	12	519.02	3.85	522.95	5.2	1	0	1	3	7	Imagine that you will lose your current home to a fire
