onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.03	33.5	4	1	3.03	2.97	6.01	12	18.03	1.84	19.94	1.02	0	1	1	7	7	Imagine that you will get your research published in a journal
36.58	33.5	4	2	36.58	2.42	39.01	12	51.03	2.07	53.17	1.27	0	0	0	1	5	Imagine that you will not be able to realize your full potential at work
70.12	33.5	4	3	70.12	1.87	72.01	12	84.03	4.94	89.03	1.03	1	0	0	2	7	Imagine that you will get locked out of your house
103.67	33.5	4	4	103.67	1.32	105.01	12	117.02	1.74	118.83	1.08	0	0	0	1	1	Imagine that you will have an argument with your parents
137.22	33.5	4	5	137.22	0.77	138.01	12	150.02	1.79	151.88	2.27	1	0	1	6	5	Imagine that you will get stuck at a friend's house with screaming kids
170.77	33.5	4	6	170.77	0.23	171	12	183.02	1.29	184.37	0.99	1	1	0	7	6	Imagine that you will successfully complete a difficult project you've been working on
204.32	33.5	4	7	204.32	2.68	207.01	12	219.02	1.32	220.41	1.05	0	1	0	5	2	Imagine that you will learn a lot about the world around you
237.87	33.5	4	8	237.87	2.13	240	12	252.02	1.28	253.37	1.1	1	1	0	7	6	Imagine that you will win the lottery
271.42	33.5	4	9	271.42	1.58	273.02	12	285.04	0.93	286.04	1.22	1	0	1	1	5	Imagine that you will lose your current home to a fire
304.96	33.5	4	10	304.96	1.03	306.02	12	318.03	1.02	319.12	0.95	0	1	0	7	5	Imagine that you will make new friends
338.51	33.5	4	11	338.51	0.49	339.01	12	351.03	1.6	352.7	0.87	1	0	0	2	6	Imagine that your car will break down when you're already running late
372.06	33.5	4	12	372.06	2.93	375	12	387.02	1.22	388.3	0.95	1	1	1	6	7	Imagine that you will make dinner for a potluck and everyone loves it
405.61	33.5	4	13	405.61	2.38	408.01	12	420.03	1.24	421.33	1.14	0	0	1	1	2	Imagine that you will put others in jeopardy because of your carelessness
439.16	33.5	4	14	439.16	1.83	441.01	12	453.03	1.4	454.5	1.42	0	1	1	7	5	Imagine that you will win an award
472.71	33.5	4	15	472.71	1.29	474.01	12	486.03	1.75	487.85	1.55	1	1	1	7	7	Imagine that you will start exercising regularly to promote health and vitality
506.26	33.5	4	16	506.26	0.74	507.01	12	519.02	1.35	520.44	1.64	0	0	1	1	2	Imagine that your place of employment will go out of business, and you have to find a new job
