onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.03	33.5	3	1	3.03	2.97	6.01	12	18.03	1.54	19.63	1.22	0	0	1	1	2	Imagine that you will be diagnosed with a rare disease
36.58	33.5	3	2	36.58	2.42	39.01	12	51.03	1.12	52.21	1.35	1	0	1	1	5	Imagine that you will get food poisoning
70.12	33.5	3	3	70.12	1.88	72.01	12	84.03	1.15	85.25	1.4	0	0	0	1	5	Imagine that you will file for bankruptcy
103.67	33.5	3	4	103.67	1.33	105.01	12	117.02	1.97	119.06	1.39	0	0	0	1	6	Imagine that you will get blamed for a hazardous accident
137.22	33.5	3	5	137.22	0.78	138.02	12	150.04	1.4	151.51	1.35	1	0	1	2	3	Imagine that there will be a natural disaster where you live
170.77	33.5	3	6	170.77	0.23	171.02	12	183.04	1.45	184.56	1.1	1	1	1	4	3	Imagine that you will see your favorite band in concert
204.32	33.5	3	7	204.32	2.68	207.01	12	219.02	1.17	220.26	0.97	1	1	0	7	6	Imagine that you will find your dream job that pays well with good hours
237.87	33.5	3	8	237.87	2.13	240	12	252.02	1.42	253.51	0.55	1	1	0	4	2	Imagine that you will buy a car
271.42	33.5	3	9	271.42	1.58	273.02	12	285.04	1.85	286.95	2.15	0	1	1	5	3	Imagine that you will cultivate lasting friendships at work
304.96	33.5	3	10	304.96	1.03	306.02	12	318.03	1.85	319.95	1.82	0	1	0	6	5	Imagine that you will fulfill a promise to your friend
338.51	33.5	3	11	338.51	0.49	339.01	12	351.03	2.54	353.63	1.07	0	0	1	2	3	Imagine that you will catch one of your good friends stealing
372.06	33.5	3	12	372.06	2.94	375	12	387.02	1.45	388.53	1.74	1	0	0	1	7	Imagine that there will be an infestation of bugs in your home
405.61	33.5	3	13	405.61	2.39	408.01	12	420.03	2.97	423.07	1.23	1	1	1	7	7	Imagine that you will go on a romantic getaway with your significant other
439.16	33.5	3	14	439.16	1.84	441.01	12	453.03	1.37	454.46	1.02	1	0	0	2	7	Imagine that you will encounter a crawling insect in your bedroom
472.71	33.5	3	15	472.71	1.29	474.01	12	486.03	0.83	486.93	1.75	0	1	1	7	4	Imagine that you will get good medical coverage at work
506.26	33.5	3	16	506.26	0.74	507.01	12	519.02	1.72	520.81	1.27	0	1	0	6	4	Imagine that you will achieve a strong sense of self-worth
