onset	duration	block	trial	cue_onset	cue_duration	imagine_onset	imagine_duration	vivrating_onset	vivrating_duration	valrating_onset	valrating_duration	vivid	positive	farfuture	valRating	vivRating	event
3.07	33.5	2	1	3.07	2.93	6.02	12	18.06	1.07	19.22	0.28	1	0	1	4	4	Imagine that you will encounter a crawling insect in your bedroom
36.61	33.5	2	2	36.61	2.39	39.01	12	51.04	2.85	53.98	1.95	1	0	1	1	7	Imagine that there will be an infestation of bugs in your home
70.15	33.5	2	3	70.15	1.84	72.02	12	84.05	3.67	87.8	2.82	1	0	0	1	6	Imagine that you will get food poisoning
103.7	33.5	2	4	103.7	1.3	105.01	12	117.04	2.63	119.76	2.42	0	0	0	2	5	Imagine that you will be diagnosed with a rare disease
137.24	33.5	2	5	137.24	0.76	138.01	12	150.05	3.8	153.93	2.75	0	0	0	4	4	Imagine that you will catch one of your good friends stealing
170.78	33.5	2	6	170.78	0.22	171.01	12	183.04	4.52	187.64	1.83	1	1	0	7	7	Imagine that you will see your favorite band in concert
204.32	33.5	2	7	204.32	2.67	207.01	12	219.03	3.9	223.02	4.4	1	0	0	1	6	Imagine that there will be a natural disaster where you live
237.86	33.5	2	8	237.86	2.13	240.02	12	252.06	4.34	256.48	5.64	1	1	1	6	5	Imagine that you will find your dream job that pays well with good hours
271.41	33.5	2	9	271.41	1.59	273.01	12	285.03	4.42	289.54	4.04	0	1	0	4	1	Imagine that you will get good medical coverage at work
304.95	33.5	2	10	304.95	1.04	306.01	12	318.04	5.92	324.04	1.78	0	1	1	6	6	Imagine that you will fulfill a promise to your friend
338.49	33.5	2	11	338.49	0.5	339.01	12	351.03	4.94	356.05	4.82	0	0	1	2	3	Imagine that you will get blamed for a hazardous accident
372.03	33.5	2	12	372.03	2.96	375	12	387.03	2.27	389.38	1.95	1	1	0	7	7	Imagine that you will go on a romantic getaway with your significant other
405.57	33.5	2	13	405.57	2.41	408.01	12	420.03	4.67	424.79	2.08	0	1	0	6	4	Imagine that you will cultivate lasting friendships at work
439.11	33.5	2	14	439.11	1.87	441	12	453.03	0.87	453.98	4.6	0	1	1	5	4	Imagine that you will achieve a strong sense of self-worth
472.64	33.5	2	15	472.64	1.34	474.01	12	486.03	3.74	489.85	1.94	1	1	1	4	6	Imagine that you will buy a car
506.18	33.5	2	16	506.18	0.8	507	12	519.02	4.5	523.61	2.75	0	0	1	2	2	Imagine that you will file for bankruptcy
